geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
6021010101,21,0.13748,0,0.97108,0,0.11583,0,0.22216,0,0.10721,1,0.01515,1,0.0,1,0.4969,0,0.00482,1,0.47739,0,0.02479,1,0.00184,1,0.0,1,0.47027,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0023,1,0.0,1,0.0,1,0.0,1,0.14469,0.15956,0,0.0712,0.18193,4861,6.58905,737.73925,,,,,,,,,0.92519,0.93215,0.85791,0.89455,0.76199,0.6966,0.76608,0.65025
6021010102,21,0.13743,0,0.97105,0,0.11585,0,0.222,0,0.10721,1,0.01514,1,0.0,1,0.49675,0,0.00482,1,0.47755,0,0.0248,1,0.00183,1,0.0,1,0.47009,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0023,1,0.0,1,0.0,1,0.0,1,0.1347,0.06405,0,0.17597,0.2223,4405,9.52646,462.39623,,,,,,,,,0.91398,0.91752,0.92259,0.88452,0.78105,0.69029,0.71396,0.6307
6021010200,21,0.10245,0,0.95427,0,0.13034,0,0.11255,0,0.10662,1,0.00581,1,0.0,1,0.3957,0,0.00578,1,0.58713,0,0.0271,1,1e-05,1,0.0,1,0.34754,0,0.00179,1,0.00119,1,0.00079,1,0.0,1,0.00497,1,0.0,1,0.0,1,0.0,1,0.19364,0.18732,0,0.12783,0.22882,4972,135.77384,36.61972,0.80482,0.76198,0.93035,0.82593,0.76853,0.61924,0.66558,0.65404,0.92958,0.9143,0.9545,0.91791,0.7997,0.6638,0.70851,0.61954
6021010300,21,0.04684,1,0.91604,0,0.18673,0,0.13077,0,0.06391,1,0.00358,1,0.02301,0,0.08589,0,0.10327,0,0.77198,0,0.0,1,0.0,1,0.0,1,0.06288,0,0.00409,1,0.0,1,0.0,1,0.00358,1,0.0,1,0.0,1,0.0,1,0.0,1,0.09427,0.21795,0,0.13006,0.03832,2125,2564.49208,0.82862,0.97728,0.9095,1.0,0.96822,0.80215,0.62083,0.61804,0.60783,0.97353,0.88744,0.80334,0.91498,0.81939,0.59991,0.6083,0.75842
6021010401,21,0.18749,0,0.94692,0,0.16811,0,0.16671,0,0.05788,1,0.08401,0,0.01559,1,0.33507,0,0.01124,0,0.51278,0,0.00421,1,0.0,1,0.0,1,0.31779,0,0.00576,1,0.0,1,0.0,1,0.00014,1,0.0,1,0.00927,1,0.0,1,0.0,1,0.05229,0.0,1,0.04488,0.04082,1566,14.56096,107.54785,,,,,,,,,0.96166,0.9372,1.0,0.91468,0.81558,0.76062,0.60435,0.64489
6021010402,21,0.18749,0,0.94692,0,0.16811,0,0.16671,0,0.05788,1,0.08401,0,0.01559,1,0.33507,0,0.01124,0,0.51278,0,0.00421,1,0.0,1,0.0,1,0.31779,0,0.00576,1,0.0,1,0.0,1,0.00014,1,0.0,1,0.00927,1,0.0,1,0.0,1,0.21157,0.14977,0,0.30908,0.18123,6329,8.4838,746.01026,,,,,,,,,0.94921,0.91565,1.0,0.88977,0.7979,0.68497,0.84898,0.57372
6021010501,21,0.25136,0,0.97356,0,0.06444,0,0.19222,0,0.1062,1,0.01509,1,0.00113,1,0.69992,0,1e-05,1,0.27239,0,0.0,1,0.0,1,0.0,1,0.67254,0,0.00196,1,0.0,1,0.00084,1,0.00084,1,0.00503,1,0.00279,1,0.0,1,0.0,1,0.09612,0.18565,0,0.07465,0.08641,3197,163.20192,19.58923,0.75704,0.58568,0.77372,0.70073,0.72238,0.61771,0.78645,0.6555,0.94722,0.92321,0.88668,0.90869,0.72896,0.61139,0.61605,0.63599
6021010502,21,0.05398,1,0.98896,0,0.16056,0,0.16688,0,0.09661,1,0.00314,1,0.0207,1,0.19385,0,0.02384,1,0.72585,0,0.0,1,0.0,1,0.0,1,0.18068,0,0.0,1,0.01129,1,0.0,1,0.0,1,0.0,1,0.00314,1,0.0,1,0.0,1,0.07273,0.36296,0,0.06633,0.02017,1461,534.22582,2.7348,0.99877,1.0,1.0,0.98608,0.85769,0.64667,0.85216,0.75653,0.97953,0.93868,1.0,0.90847,0.86472,0.66123,0.85387,0.72948
