geoid,countyfp,pop20,areakm,popdens,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6001442100,1.0,5269.0,1.8589,2834.46651,0.95538,0.93671,0.96574,0.95339,0.85914,0.87062,0.85543,0.82847,0.73631,0.75477,0.74157,0.76435,0.77457,0.75856,0.74353,0.5891,0.00232,0.00072,0.215,0.0,0.99284,0.0,0.01082,1.0,0.02389,0.0,0.06301,1.0,0.80309,0.0,0.01468,1.0,0.01105,1.0,0.00529,1.0,0.13426,0.0,0.00035,1.0,0.0,1.0,0.0,1.0,0.01055,1.0,0.0,1.0,0.00016,1.0,0.39697,0.0,0.33977,0.0,0.01583,1.0,0.006,1.0,0.01138,1.0,0.00021,1.0,0.00305,0.0,1.0
6001442200,1.0,7456.0,4.19122,1778.95527,0.95099,0.89463,0.95768,0.94936,0.8609,0.78315,0.86459,0.82893,0.69423,0.59137,0.73385,0.76405,0.7751,0.72493,0.73469,0.55536,0.00358,0.00449,0.21711,0.0,0.97354,0.0,0.05431,0.0,0.00711,1.0,0.04939,1.0,0.70348,0.0,0.01418,1.0,0.05996,0.0,0.00335,1.0,0.19241,0.0,0.01927,1.0,0.0,1.0,0.0,1.0,0.02449,1.0,0.00294,1.0,0.0,1.0,0.28424,0.0,0.31713,0.0,0.00602,1.0,0.02033,1.0,0.00669,1.0,0.00175,1.0,0.00442,0.0,1.0
6001442301,1.0,5050.0,1.41277,3574.54452,0.91828,0.90935,0.92795,0.91013,0.78587,0.70289,0.81607,0.7659,0.67185,0.61744,0.71473,0.59438,0.70839,0.71241,0.69332,0.60756,0.00253,0.00176,0.21446,0.0,0.9284,0.0,0.05237,0.0,0.06078,0.0,0.08971,1.0,0.54793,0.0,0.03861,0.0,0.18214,0.0,0.00687,1.0,0.17652,0.0,0.02288,1.0,0.0,1.0,0.0,1.0,0.13678,0.0,0.00363,1.0,0.00359,1.0,0.15116,0.0,0.17152,0.0,0.1053,0.0,0.00404,1.0,0.02379,1.0,0.02354,1.0,0.00272,0.26912,0.0
6001442302,1.0,6423.0,0.96316,6668.69228,0.90791,0.86819,0.9255,0.88213,0.76175,0.70632,0.80822,0.71871,0.67088,0.57303,0.71898,0.6093,0.67907,0.6702,0.65932,0.5634,0.00329,0.00194,0.27229,0.0,0.83664,0.0,0.06549,0.0,0.09462,0.0,0.06693,1.0,0.59883,0.0,0.04967,1.0,0.11665,0.0,0.00374,1.0,0.17233,0.0,0.03048,1.0,0.0,1.0,0.0,1.0,0.0714,0.0,0.00014,1.0,0.01402,1.0,0.2366,0.0,0.16029,0.0,0.05792,0.0,0.00241,1.0,0.03007,1.0,0.0189,1.0,0.00328,0.24962,0.0
6001442400,1.0,6352.0,1.58284,4013.03669,0.92438,0.91578,0.93801,0.91234,0.80319,0.81411,0.78912,0.76109,0.62005,0.53351,0.72248,0.59754,0.73304,0.74913,0.67768,0.59509,0.0037,0.0008,0.20077,0.0,0.9559,0.0,0.04074,0.0,0.05604,0.0,0.09792,1.0,0.48959,0.0,0.0409,1.0,0.24714,0.0,0.00205,1.0,0.20639,0.0,0.02521,1.0,0.0,1.0,0.0,1.0,0.16755,0.0,0.03064,1.0,0.02199,1.0,0.13456,0.0,0.10437,0.0,0.09909,0.0,0.00733,1.0,0.00469,1.0,0.06171,1.0,0.00396,0.24623,0.0
6001442501,1.0,3544.0,0.98397,3601.72162,0.91383,0.93597,0.93136,0.91265,0.77933,0.73841,0.79607,0.7415,,,,,,,,,0.00205,0.00082,0.21273,0.0,0.94428,0.0,0.09768,0.0,0.06403,1.0,0.04462,1.0,0.47749,0.0,0.0339,0.0,0.23393,0.0,0.0057,1.0,0.16979,0.0,0.00325,1.0,0.00054,1.0,0.0,1.0,0.18633,0.0,0.00122,1.0,0.0,1.0,0.17535,0.0,0.10998,0.0,0.16192,0.0,0.0,1.0,0.0,1.0,0.01207,1.0,0.00196,0.2139,0.0
6001442502,1.0,3979.0,0.97167,4095.01062,0.90115,0.85623,0.93079,0.89069,0.78964,0.77333,0.77937,0.77123,,,,,,,,,0.00266,0.00159,0.21273,0.0,0.94428,0.0,0.09768,0.0,0.06403,1.0,0.04462,1.0,0.47749,0.0,0.0339,0.0,0.23393,0.0,0.0057,1.0,0.16979,0.0,0.00325,1.0,0.00054,1.0,0.0,1.0,0.18633,0.0,0.00122,1.0,0.0,1.0,0.17535,0.0,0.10998,0.0,0.16192,0.0,0.0,1.0,0.0,1.0,0.01207,1.0,0.0022,0.21777,0.0
6001442601,1.0,3855.0,1.18158,3262.5784,0.92771,0.91185,0.96183,0.89826,0.82394,0.83574,0.81544,0.78592,0.68164,0.61607,0.6997,0.66891,0.773,0.7891,0.71709,0.64744,0.00215,0.00042,0.09283,0.0,0.97872,0.0,0.04024,1.0,0.03925,0.0,0.08365,1.0,0.40168,0.0,0.00385,1.0,0.20601,0.0,0.0,1.0,0.35096,0.0,0.00288,1.0,0.0,1.0,0.0,1.0,0.18918,0.0,0.0024,1.0,0.0,1.0,0.14279,0.0,0.08005,0.0,0.0899,1.0,0.00601,1.0,0.01202,1.0,0.05409,1.0,0.00265,0.30166,0.0
6001442602,1.0,5317.0,1.32103,4024.87486,0.92488,0.91369,0.92978,0.91632,0.81395,0.7278,0.81554,0.7316,0.6938,0.5905,0.77114,0.66,0.74993,0.68711,0.71821,0.56152,0.00277,0.00056,0.1751,0.0,0.95794,0.0,0.02915,1.0,0.02434,0.0,0.09032,1.0,0.3092,0.0,0.03617,1.0,0.27889,0.0,0.00079,1.0,0.337,0.0,0.00376,1.0,0.0,1.0,0.0,1.0,0.24884,0.0,0.0,1.0,0.01878,1.0,0.06131,0.0,0.1204,0.0,0.07392,1.0,0.00534,1.0,0.01107,1.0,0.01541,1.0,0.00253,0.07691,0.0
6001442700,1.0,3142.0,1.23403,2546.12764,0.92531,0.89724,0.94387,0.93289,0.84585,0.82143,0.81897,0.83706,0.64681,0.58258,0.66168,0.65594,0.78321,0.78987,0.76717,0.62,0.00209,0.0009,0.0573,0.0,1.0,0.0,0.05559,0.0,0.02592,1.0,0.03642,1.0,0.3937,0.0,0.05052,1.0,0.15354,0.0,0.00361,1.0,0.36877,0.0,0.00328,1.0,0.00459,1.0,0.0,1.0,0.12828,0.0,0.0,1.0,0.0128,1.0,0.12566,0.0,0.08432,1.0,0.12762,0.0,0.0128,1.0,0.00459,1.0,0.00295,1.0,0.00185,0.07021,0.0
6001442800,1.0,2962.0,1.27865,2316.50038,0.93703,0.95238,0.97633,0.97727,0.81094,0.84971,0.79343,0.79518,0.64271,0.6022,0.7129,0.54755,0.71697,0.73369,0.63532,0.56358,0.00151,0.00122,0.21524,0.0,0.96915,0.0,0.07797,0.0,0.02642,0.0,0.09688,1.0,0.46511,0.0,0.01457,1.0,0.16701,0.0,0.00136,1.0,0.3086,0.0,0.01084,1.0,0.0,1.0,0.0,1.0,0.13652,0.0,0.00339,1.0,0.00982,1.0,0.10738,0.0,0.0769,0.0,0.09993,0.0,0.00237,1.0,0.03117,1.0,0.02202,1.0,0.00188,0.18587,0.0
6001442900,1.0,7668.0,2.06653,3710.56162,0.91614,0.8919,0.92331,0.91935,0.80985,0.77215,0.82485,0.79884,0.64431,0.584,0.69914,0.5661,0.75095,0.75054,0.72534,0.64802,0.0046,0.00069,0.17231,0.0,0.97989,0.0,0.0669,0.0,0.01625,1.0,0.06442,1.0,0.46579,0.0,0.03801,1.0,0.17034,0.0,0.01366,1.0,0.26491,0.0,0.01211,1.0,0.00477,1.0,0.0,1.0,0.14289,0.0,0.0067,1.0,0.0,1.0,0.20345,0.0,0.05644,0.0,0.03337,1.0,0.00412,1.0,0.00734,1.0,0.02564,1.0,0.00428,0.19687,0.0
6001443001,1.0,2889.0,0.76874,3758.12004,0.89586,0.86218,0.92435,0.88414,0.7852,0.74288,0.8169,0.75926,0.58934,0.52,0.63713,0.56897,0.70938,0.70694,0.70326,0.61376,0.00227,0.00034,0.1721,0.0,0.97847,0.0,0.05102,0.0,0.05292,0.0,0.05223,1.0,0.30474,0.0,0.04912,1.0,0.3542,0.0,0.00346,1.0,0.22795,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.30854,0.0,0.00242,1.0,0.01972,1.0,0.05396,1.0,0.13871,0.0,0.04981,0.0,0.00069,1.0,0.01349,1.0,0.01868,1.0,0.0017,0.21573,0.0
