geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralam,prc_centralam_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens
6073000100,73,0.03844,1,0.9531,0,0.02402,1,0.02102,1,0.02813,1,0.03621,0,0.0,1,0.1581,0,0.0,1,0.77239,0,0.0,1,0.00614,1,0.0,1,0.08988,0,0.00291,1,0.05626,1,0.0,1,0.01778,1,0.0055,1,0.01002,1,0.00291,1,0.00291,1,0.00108
6073000201,73,0.0215,1,0.88241,0,0.01842,1,0.1248,0,0.03226,1,0.03966,1,0.00529,1,0.07403,0,0.00582,1,0.82972,0,0.0,1,0.00582,1,0.0,1,0.05024,0,0.0,1,0.01111,1,0.0,1,0.02538,1,0.0,1,0.0,1,0.0,1,0.0,1,0.00073
6073000202,73,0.06209,1,0.91084,0,0.07401,1,0.04664,1,0.05262,1,0.08344,1,0.00088,1,0.13562,0,0.0,1,0.74637,0,0.0,1,0.00793,1,0.0,1,0.0819,0,0.00793,1,0.03236,1,0.0207,1,0.02224,1,0.03853,1,0.0,1,0.0,1,0.0,1,0.00155
6073000301,73,0.01211,1,0.93575,0,0.05541,1,0.12456,0,0.09716,1,0.02787,0,0.05077,0,0.16625,0,0.0,1,0.72915,0,0.0,1,0.0,1,0.0,1,0.14449,0,0.00821,1,0.01031,1,0.01107,1,0.00783,1,0.00935,1,0.0,1,0.0,1,0.0,1,0.00092
6073000302,73,0.01211,1,0.93575,0,0.05541,1,0.12456,0,0.09716,1,0.02787,0,0.05077,0,0.16625,0,0.0,1,0.72915,0,0.0,1,0.0,1,0.0,1,0.14449,0,0.00821,1,0.01031,1,0.01107,1,0.00783,1,0.00935,1,0.0,1,0.0,1,0.0,1,0.00125
6073000400,73,0.0654,1,0.90972,0,0.06167,1,0.0665,0,0.10418,1,0.11313,0,0.05998,0,0.23257,0,0.0,1,0.56511,0,0.00789,1,0.0,1,0.0,1,0.18443,0,0.00289,1,0.01184,1,0.0,1,0.03052,1,0.02368,1,0.00105,1,0.03394,1,0.00316,1,0.00141
6073000500,73,0.01786,1,0.91688,0,0.0616,0,0.0883,0,0.06389,1,0.05618,0,0.0115,1,0.17798,0,0.00876,1,0.72849,0,0.01943,1,0.01121,1,0.02397,1,0.10833,0,5e-05,1,0.01095,1,0.0,1,0.01565,1,0.00885,1,0.01281,1,0.00641,1,0.00409,1,0.00121
6073000600,73,0.09429,0,0.91519,0,0.04424,0,0.11132,0,0.05299,1,0.05643,0,0.03127,1,0.22268,0,0.00266,1,0.62488,0,0.00689,1,0.00029,1,0.00063,1,0.209,0,0.00273,1,0.00302,1,0.0,1,0.02045,1,0.00691,1,0.00246,1,0.00958,1,0.00254,1,0.00117
6073000700,73,0.06021,1,0.94188,0,0.07887,1,0.07439,0,0.00649,1,0.07569,0,0.02228,1,0.20718,0,0.00433,1,0.64728,0,0.00952,1,0.0,1,0.0186,1,0.15311,0,0.00908,1,0.01319,1,0.0,1,0.01665,1,0.04996,1,0.0,1,0.00584,1,0.00324,1,0.00178
6073000800,73,0.07166,1,0.90123,0,0.05718,1,0.07744,0,0.04345,1,0.03187,1,0.04442,1,0.23832,0,0.0,1,0.65856,0,0.0,1,0.0,1,0.0,1,0.21031,0,0.0027,1,0.0,1,0.0,1,0.0029,1,0.01873,1,0.00425,1,0.00425,1,0.0,1,0.00187
