name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
COLUSA COUNTY ELECTIONS OFFICE,546 JAY STREET SUITE 200 COLUSA CA 95932,False,Locality wide location,False,-122.00906,39.21354
Colusa Assembly Of God,1747 HWY 20 COLUSA CA 95932,False,VISTA B,False,-122.00191,39.20085
Education Village,499 MARGURITE ST WILLIAMS CA 95987,False,"GENEVA, WILLIAMS, VALLEY RANCH",False,-122.13673,39.16033
Holy Cross Mission Church,408 LAUREL ST ARBUCKLE CA 95912,False,ARBUCKLE COLLEGE CITY -  A,False,-122.05623,39.02001
Maxwell Precinct,250 OAK STREET MAXWELL CA 95955,False,MAXWELL,False,-122.19527,39.27651
Our Lady of Lourdes Parish Hall,335 OAK ST COLUSA CA 95932,False,COLUSA A,False,-122.00655,39.21145
Pierce High School,960 WILDWOOD RD ARBUCKLE CA 95912,False,ARBUCKLE B,False,-122.05462,39.01018
Senior Center/Scouts Cabin,901 PARKHILL ST COLUSA CA 95932,False,COLUSA B,False,-122.01515,39.2115
St. Bernadette's Hall,745 WARE AVE COLUSA CA 95932,False,VISTA A,False,-122.01497,39.20453
VFW Post 2441,108 E MAIN ST COLUSA CA 95932,False,NEWLAND,False,-121.99984,39.21315
Williams Community Center,860 C ST WILLIAMS CA 95987,False,CORTINA,False,-122.15354,39.15643
