geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralam,prc_centralam_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens
6075010101,75,0.27693,0,0.5212,0,0.19189,0,0.13962,0,0.07688,1,0.39445,0,0.06068,1,0.12214,0,0.0,1,0.39007,0,0.00771,1,0.0054,1,0.0,1,0.10003,0,0.0,1,0.0036,1,0.02391,1,0.31756,0,0.00926,1,0.00437,1,0.02134,1,0.00977,1,0.00244
6075010102,75,0.27693,0,0.5212,0,0.19189,0,0.13962,0,0.07688,1,0.39445,0,0.06068,1,0.12214,0,0.0,1,0.39007,0,0.00771,1,0.0054,1,0.0,1,0.10003,0,0.0,1,0.0036,1,0.02391,1,0.31756,0,0.00926,1,0.00437,1,0.02134,1,0.00977,1,0.00211
6075010201,75,0.01635,1,0.68191,0,0.02994,1,0.0312,0,0.06096,1,0.12071,0,0.02016,1,0.03264,1,0.0,1,0.80706,0,0.0,1,0.0,1,0.0,1,0.01368,1,0.0,1,0.01896,1,0.02544,1,0.05064,1,0.00456,1,0.01776,1,0.00864,1,0.0,1,0.003
6075010202,75,0.01684,1,0.68282,0,0.02982,1,0.03119,0,0.06084,1,0.12124,0,0.02,1,0.0327,1,0.0,1,0.80658,0,0.0,1,0.0001,1,4e-05,1,0.01375,1,0.0,1,0.01877,1,0.02549,1,0.05109,1,0.00457,1,0.01758,1,0.00875,1,0.00019,1,0.00255
6075010300,75,0.1622,0,0.7377,0,0.03793,1,0.07639,0,0.0468,1,0.29043,0,0.0,1,0.09337,0,0.0,1,0.5944,0,0.00688,1,0.0,1,0.0,1,0.04932,1,0.0,1,0.01881,1,0.02707,1,0.22872,0,0.01996,1,0.00757,1,0.00711,1,0.0,1,0.00571
6075010401,75,0.07624,0,0.66354,0,0.03809,1,0.07474,0,0.03064,1,0.22575,0,0.00198,1,0.07584,0,0.00176,1,0.62941,0,0.0302,1,0.00243,1,0.0,1,0.01499,1,0.00573,1,0.01653,1,0.02601,1,0.15146,0,0.0086,1,0.01058,1,0.00419,1,0.00772,1,0.00256
6075010402,75,0.07624,0,0.66354,0,0.03809,1,0.07474,0,0.03064,1,0.22575,0,0.00198,1,0.07584,0,0.00176,1,0.62941,0,0.0302,1,0.00243,1,0.0,1,0.01499,1,0.00573,1,0.01653,1,0.02601,1,0.15146,0,0.0086,1,0.01058,1,0.00419,1,0.00772,1,0.00295
6075010500,75,0.09586,0,0.54588,0,0.10086,1,0.1846,0,0.0493,1,0.23678,0,0.09068,1,0.07557,1,0.0,1,0.49802,0,0.00144,1,0.00252,1,0.0,1,0.02699,1,0.0,1,0.01367,1,0.0403,0,0.12343,0,0.01223,1,0.02807,1,0.00792,1,0.00972,1,0.00321
6075010600,75,0.34729,0,0.34122,0,0.10924,0,0.16215,0,0.06299,1,0.55701,0,0.01866,1,0.04287,0,0.0,1,0.35375,0,0.00467,1,0.0,1,0.0,1,0.02158,1,0.0,1,0.01662,1,0.01691,1,0.52639,0,0.00729,1,0.0,1,0.0,1,0.00642,1,0.00398
6075010701,75,0.64031,0,0.2563,0,0.05006,1,0.19935,0,0.05155,1,0.7765,0,0.0,1,0.06002,0,0.00595,1,0.14672,0,0.03497,1,0.0,1,0.0,1,0.01081,1,0.00415,1,0.0,1,0.01063,1,0.74045,0,0.00505,1,0.0,1,0.00342,1,0.00631,1,0.00379
6075010702,75,0.64031,0,0.2563,0,0.05006,1,0.19935,0,0.05155,1,0.7765,0,0.0,1,0.06002,0,0.00595,1,0.14672,0,0.03497,1,0.0,1,0.0,1,0.01081,1,0.00415,1,0.0,1,0.01063,1,0.74045,0,0.00505,1,0.0,1,0.00342,1,0.00631,1,0.00162
6075010800,75,0.21032,0,0.57096,0,0.02618,1,0.1054,0,0.052,1,0.42656,0,0.02203,1,0.06193,0,0.0,1,0.46348,0,0.00695,1,0.00318,1,0.00397,1,0.02044,1,0.01032,1,0.00377,1,0.02183,1,0.34379,0,0.01568,1,0.00953,1,0.0,1,0.01191,1,0.00654
6075010901,75,0.12124,0,0.54888,0,0.03696,1,0.05395,0,0.04057,1,0.24788,0,0.01538,1,0.04347,0,0.0,1,0.65849,0,0.01048,1,0.00401,1,0.0,1,0.02898,1,0.0,1,0.0,1,0.03433,1,0.17454,0,0.00669,1,0.00424,1,0.0029,1,0.00357,1,0.00294
6075010902,75,0.12124,0,0.54888,0,0.03696,1,0.05395,0,0.04057,1,0.24788,0,0.01538,1,0.04347,0,0.0,1,0.65849,0,0.01048,1,0.00401,1,0.0,1,0.02898,1,0.0,1,0.0,1,0.03433,1,0.17454,0,0.00669,1,0.00424,1,0.0029,1,0.00357,1,0.00302
6075011001,75,0.16724,0,0.50151,0,0.00834,1,0.08211,0,0.04076,1,0.40199,0,0.02087,1,0.06144,0,0.0,1,0.5157,0,0.00936,1,0.00585,1,0.0,1,0.03121,0,0.00293,1,0.00527,1,0.01892,1,0.31207,0,0.0119,1,0.00975,1,0.01677,1,0.01034,1,0.00373
6075011002,75,0.16724,0,0.50151,0,0.00834,1,0.08211,0,0.04076,1,0.40199,0,0.02087,1,0.06144,0,0.0,1,0.5157,0,0.00936,1,0.00585,1,0.0,1,0.03121,0,0.00293,1,0.00527,1,0.01892,1,0.31207,0,0.0119,1,0.00975,1,0.01677,1,0.01034,1,0.00298
6075011101,75,0.18433,0,0.32566,0,0.0645,1,0.10388,0,0.05191,1,0.35719,0,0.04178,0,0.10134,0,0.0,1,0.46039,0,0.0,1,0.0,1,0.0,1,0.07177,0,0.0,1,0.00372,1,0.0304,1,0.20021,0,0.00434,1,0.01861,1,0.01096,1,0.02813,1,0.00344
6075011102,75,0.18433,0,0.32566,0,0.0645,1,0.10388,0,0.05191,1,0.35719,0,0.04178,0,0.10134,0,0.0,1,0.46039,0,0.0,1,0.0,1,0.0,1,0.07177,0,0.0,1,0.00372,1,0.0304,1,0.20021,0,0.00434,1,0.01861,1,0.01096,1,0.02813,1,0.00275
6075011200,75,0.12508,0,0.62039,0,0.02993,1,0.10784,0,0.05918,1,0.28597,0,0.05077,0,0.04506,0,0.0,1,0.58726,0,0.0027,1,0.0,1,0.0,1,0.03845,0,0.0,1,0.00391,1,0.04896,0,0.19435,0,0.00631,1,0.01712,1,0.0,1,0.00841,1,0.00412
6075011300,75,0.5656,0,0.22863,1,0.02584,1,0.14439,0,0.05382,1,0.78192,0,0.0,1,0.02638,1,0.0,1,0.15512,0,0.00492,1,0.0,1,0.0,1,0.01688,1,0.0,1,0.0,1,0.0109,1,0.75871,0,0.0,1,0.00281,1,0.00422,1,0.0,1,0.00311
6075011700,75,0.34467,0,0.20779,1,0.13422,1,0.16667,0,0.05922,1,0.48045,0,0.03743,1,0.10335,0,0.0,1,0.31397,0,0.0,1,0.0,1,0.0,1,0.04302,0,0.02067,1,0.03128,1,0.06257,1,0.34804,0,0.05307,1,0.0,1,0.00559,1,0.0,1,0.00185
6075011800,75,0.62516,0,0.17356,1,0.04432,1,0.18726,0,0.05541,1,0.83439,0,0.00573,1,0.01529,1,0.0,1,0.12293,0,0.0051,1,0.0,1,0.0,1,0.0051,1,0.0,1,0.0051,1,0.00764,1,0.75541,0,0.00573,1,0.0,1,0.0535,0,0.00318,1,0.00143
6075011901,75,0.06817,0,0.44073,0,0.03332,1,0.08708,0,0.15561,0,0.23305,0,0.02186,1,0.13449,0,0.0,1,0.51908,0,0.0,1,0.00519,1,0.0,1,0.10189,0,0.00445,1,0.00445,1,0.02631,0,0.07299,0,0.02001,1,0.03705,0,0.03001,0,0.0,1,0.00322
6075011902,75,0.10438,0,0.28236,0,0.0443,0,0.08444,0,0.08075,1,0.30568,0,0.00922,1,0.07448,0,0.0,1,0.55678,0,0.02876,1,0.00369,1,0.0,1,0.02286,1,0.00406,1,0.01512,1,0.02249,0,0.14491,0,0.03319,1,0.0177,0,0.01106,1,0.04941,1,0.0036
6075012001,75,0.2311,0,0.27749,0,0.10271,1,0.23889,0,0.06746,1,0.3262,0,0.06066,1,0.15303,0,0.00227,1,0.39139,0,0.00629,1,0.00478,1,0.0,1,0.09086,0,0.0,1,0.04128,0,0.03146,1,0.13793,0,0.04279,1,0.00982,1,0.02718,1,0.00604,1,0.00239
6075012002,75,0.2311,0,0.27749,0,0.10271,1,0.23889,0,0.06746,1,0.3262,0,0.06066,1,0.15303,0,0.00227,1,0.39139,0,0.00629,1,0.00478,1,0.0,1,0.09086,0,0.0,1,0.04128,0,0.03146,1,0.13793,0,0.04279,1,0.00982,1,0.02718,1,0.00604,1,0.00253
6075012100,75,0.14656,0,0.25551,1,0.03787,1,0.15029,0,0.22311,0,0.2936,0,0.04535,1,0.18139,0,0.0,1,0.44105,0,0.01581,1,0.0,1,0.0013,1,0.13112,0,0.0,1,0.0171,1,0.03706,0,0.12827,0,0.06763,1,0.00803,1,0.01218,1,0.01399,1,0.00454
6075012202,75,0.13003,0,0.20914,1,0.25509,0,0.32992,0,0.04031,1,0.24115,0,0.13355,0,0.18858,0,0.01367,1,0.36286,0,0.01056,1,5e-05,1,0.0,1,0.14343,1,0.01313,1,0.01417,1,0.02395,1,0.06054,0,0.01367,1,0.02479,1,0.01946,1,0.00361,1,0.00383
