name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
45 MAIN STREET CENTER,45 MAIN ST RIO VISTA CA 94571,False,RIO VISTA 54005,False,-121.69037,38.15524
A GIRLS PLACE,3351 HILLRIDGE DR FAIRFIELD CA 94534,False,"FAIRFIELD 33063, FAIRFIELD 33065",False,-122.04142,38.28966
ANNIE PENNYCOOK ELEMENTARY,3620 FERNWOOD AVE VALLEJO CA 94591,False,"VALLEJO 27210, VALLEJO 27215",False,-122.21136,38.09917
BENICIA SENIOR CENTER,187 E L ST BENICIA CA 94510,False,"BENICIA 21005, BENICIA 21007",False,-122.1538,38.05319
BETHEL COMMUNITY CHURCH,600 E TABOR AVE FAIRFIELD CA 94533,False,"FAIRFIELD 33210, FAIRFIELD 33220, FAIRFIELD 33225, FAIRFIELD 33230",False,-122.02755,38.26574
BEVERLY HILLS ELEMENTARY SCH.,1450 CORONEL AVE VALLEJO CA 94591,False,"VALLEJO 27080, VALLEJO 27085, VALLEJO 29820",False,-122.22389,38.08753
BLDG 2 (NEXT TO MT. CALVARY),1745 ENTERPRISE DR FAIRFIELD CA 94533,False,"FAIRFIELD 23090, FAIRFIELD 23092, FAIRFIELD 23095, FAIRFIELD 23097",False,-122.06155,38.24197
C. A. JACOBS MIDDLE SCHOOL,200 N LINCOLN ST DIXON CA 95620,False,"DIXON 42325, DIXON 42350",False,-121.83571,38.4469
CAL MARITIME ACADEMY - AQUATIC CTR.,200 MARITIME ACADEMY DR VALLEJO CA 94590,False,"VALLEJO 27055, VALLEJO 29835",False,-122.23324,38.06937
CALIFORNIA NAT. GUARD ARMORY,711 HILLCREST AVE BENICIA CA 94510,False,BENICIA 21020,False,-122.13697,38.05675
CALLISON ELEMENTARY,6261 VANDEN CT VACAVILLE CA 95687,False,VACAVILLE 56205,False,-121.94321,38.33741
CALVARY CHAPEL SOLANO,1180 WESTERN ST FAIRFIELD CA 94533,False,"FAIRFIELD 33235, FAIRFIELD 33237, FAIRFIELD 53035, FAIRFIELD 53070, FAIRFIELD 53075",False,-122.0096,38.27504
CALVARY COMMUNITY CHURCH,585 MINI DR VALLEJO CA 94589,False,"VALLEJO 17005, VALLEJO 17010",False,-122.24673,38.1494
CAMBRIDGE ELEMENTARY SCHOOL,100 CAMBRIDGE DR VACAVILLE CA 95687,False,VACAVILLE 56125,False,-121.95127,38.3329
CHRISTIAN BODY OF LIFE FLSHP,1201 MARSHALL RD VACAVILLE CA 95687,False,VACAVILLE 56100,False,-121.97152,38.34601
CHRISTIAN REFORMED CHURCH,300 MARIGOLD DR FAIRFIELD CA 94533,False,"FAIRFIELD 53112, FAIRFIELD 53135",False,-122.03303,38.2853
CHURCH OF CHRIST,2235 GRIFFIN DR VALLEJO CA 94589,False,VALLEJO 17070,False,-122.23601,38.14749
CHURCH OF JESUS CHRIST LDS,1125 SOUTHAMPTON RD BENICIA CA 94510,False,"BENICIA 21090, BENICIA 21095",False,-122.17239,38.07007
CLUBHOUSE AT PARADISE VALLEY,3990 PARADISE VALLEY RD FAIRFIELD CA 94533,False,FAIRFIELD 53140,False,-122.02438,38.29655
