name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
"COUNTY COURTHOUSE, MAIN HALLWAY",450 H STREET CRESCENT CITY CA 95531,False,PRECINCT 01,False,-124.1994,41.75286
CRESCENT CITY HARBOR DISTRICT,"101 CITIZENS DOCK ROAD, BOARD CRESCENT CITY CA 95531",False,PRECINCT 17,False,-124.18325,41.74643
CRESCENT FIRE PROTECTION BUILDING,255 W WASHINGTON BLVD CRESCENT CITY CA 95531,False,"PRECINCT 13, PRECINCT 14",False,-124.20547,41.77238
DEL NORTE COUNTY AIRPORT,1650 DALE RUPERT ROAD CRESCENT CITY CA 95531,False,PRECINCT 07,False,-124.23712,41.77479
DEL NORTE FAMILY RESOURCE CENTER,494 PACIFIC AVENUE CRESCENT CITY CA 95531,False,PRECINCT 06,False,-124.20784,41.75862
Del Norte County Clerk,981 H STREET SUITE 160 CRESCENT CITY CA 95531,False,Locality wide location,False,-124.20173,41.75685
FORT DICK BIBLE CHURCH,6725 LAKE EARL DRIVE CRESCENT CITY CA 95531,False,PRECINCT 11,False,-124.14961,41.86596
GASQUET BIBLE CHURCH,1340 GASQUET FLAT RD GASQUET CA 95543,False,PRECINCT 12,False,-123.97909,41.84713
GRACE LUTHERAN CHURCH,188 E COOPER AVE CRESCENT CITY CA 95531,False,PRECINCT 02,False,-124.2033,41.76039
HIOUCHI COMMUNITY FELLOWSHIP,105 SUNKIST LANE CRESCENT CITY CA 95531,False,PRECINCT 10,False,-124.06261,41.79188
HOWONQUET HALL,101 INDIDAN COURT SMITH RIVER CA 95567,False,PRECINCT 08,False,-124.20569,41.9572
KLAMATH COMMUNITY CENTER,219 SALMON BLVD KLAMATH CA 95548,False,PRECINCT 18,False,-124.04272,41.53279
LAKE EARL GRANGE,6820 LAKE EARL DRIVE CRESCENT CITY CA 95531,False,PRECINCT 15,False,-124.14951,41.86827
MASONIC LODGE,250 9TH STREET CRESCENT CITY CA 95531,False,PRECINCT 05,False,-124.20694,41.75376
REDWOODS FAMILY CHURCH,2900 ENGLISH LANE CRESCENT CITY CA 95531,False,PRECINCT 16,False,-124.14912,41.79747
SMITH RIVER COMMUNITY HALL,241 W FIRST STREET SMITH RIVER CA 95567,False,PRECINCT 09,False,-124.14821,41.92632
SUTTER COAST COMMUNITY CLINIC,780 E WASHINGTON BLVD CRESCENT CITY CA 95531,False,PRECINCT 03,False,-124.19435,41.77444
VETERANS MEMORIAL BUILDING,810 H STREET CRESCENT CITY CA 95531,False,PRECINCT 04,False,-124.20153,41.75563
