name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Brandon School - Multipurpose Room,195 BRANDON DR GOLETA CA 93117,False,"CITY GLTA BT 52, CITY GLTA BT 52",False,-119.89377,34.43907
Brandon School - Multipurpose Room,195 BRANDON DR GOLETA CA 93117,True,"CITY GLTA BT 52, CITY GLTA BT 52",False,-119.89377,34.43907
Carpinteria Community Church,1111 CHURCH LN CARPINTERIA CA 93013,False,"CARP BT 1, CITY CARP BT 17",False,-119.5158,34.39834
Carpinteria Community Church,1111 CHURCH LN CARPINTERIA CA 93013,True,"CARP BT 1, CITY CARP BT 17",False,-119.5158,34.39834
Carrillo Recreation Center,100 E CARRILLO ST SANTA BARBARA CA 93101,False,"CITY STBR BT 9, CITY STBR BT 20, CITY STBR BT 21, CITY STBR BT 21, CITY STBR BT 19",False,-119.70018,34.42264
Carrillo Recreation Center,100 E CARRILLO ST SANTA BARBARA CA 93101,True,"CITY STBR BT 9, CITY STBR BT 20, CITY STBR BT 21, CITY STBR BT 21, CITY STBR BT 19",False,-119.70018,34.42264
Church Of Jesus Christ Of Latter Day Saints,1219 OAK KNOLL RD SANTA MARIA CA 93455,False,"ORCT BT 90, ORCT BT 91",False,-120.41389,34.87094
Church Of Jesus Christ Of Latter Day Saints,1219 OAK KNOLL RD SANTA MARIA CA 93455,True,"ORCT BT 90, ORCT BT 91",False,-120.41389,34.87094
Dick Dewees Community & Senior Center,1120 W OCEAN AVE LOMPOC CA 93436,False,CITY LMPC BT 94,False,-120.4715,34.63807
Dick Dewees Community & Senior Center,1120 W OCEAN AVE LOMPOC CA 93436,True,CITY LMPC BT 94,False,-120.4715,34.63807
Edwards Community Center - Gymnasium,809 PANTHER DR SANTA MARIA CA 93454,False,"CITY STMR BT 95, CITY STMR BT 96",False,-120.40056,34.96019
Edwards Community Center - Gymnasium,809 PANTHER DR SANTA MARIA CA 93454,True,"CITY STMR BT 95, CITY STMR BT 96",False,-120.40056,34.96019
Events Mission Valley,138 N B ST LOMPOC CA 93436,False,CITY LMPC BT 93,False,-120.44994,34.64027
Events Mission Valley,138 N B ST LOMPOC CA 93436,True,CITY LMPC BT 93,False,-120.44994,34.64027
Hilton Garden Inn - Goleta,6878 HOLLISTER AVE GOLETA CA 93117,False,"CITY GLTA BT 53, CITY GLTA BT 53",False,-119.86855,34.431
Hilton Garden Inn - Goleta,6878 HOLLISTER AVE GOLETA CA 93117,True,"CITY GLTA BT 53, CITY GLTA BT 53",False,-119.86855,34.431
Hilton Garden Inn - Lompoc,1201 N H ST LOMPOC CA 93436,False,"CITY LMPC BT 81, CITY LMPC BT 93",False,-120.45876,34.65751
