name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Bonny Doon Elementary School,1492 PINE FLAT RD SANTA CRUZ CA 95060,False,Locality wide location,False,-122.14848,37.06068
Boulder Creek Recreation Hall,13333 MIDDLETON AVE BOULDER CREEK CA 95006,False,Locality wide location,False,-122.12162,37.12591
Calabasas Elementary School,202 CALABASAS RD WATSONVILLE CA 95076,False,Locality wide location,False,-121.79257,36.94376
Gateway School,255 SWIFT ST SANTA CRUZ CA 95060,False,Locality wide location,False,-122.04845,36.95386
Kaiser Permanente Arena,140 FRONT ST SANTA CRUZ CA 95060,False,Locality wide location,False,-122.02319,36.96828
La Selva Beach Clubhouse,314 ESTRELLA AVE WATSONVILLE CA 95076,False,Locality wide location,False,-121.86342,36.93762
Masonic Center,828 N BRANCIFORTE AVE SANTA CRUZ CA 95062,False,Locality wide location,False,-122.01402,36.98034
New Brighton Middle School,250 WASHBURN AVE CAPITOLA CA 95010,False,Locality wide location,False,-121.94796,36.97872
Pajaro Valley Community Trust,85 NIELSON ST WATSONVILLE CA 95076,False,Locality wide location,False,-121.79407,36.92628
San Lorenzo Valley High School,7105 HIGHWAY 9 FELTON CA 95018,False,Locality wide location,False,-122.08015,37.06171
Santa Cruz County Clerk/Elections,701 OCEAN ST ROOM 310 SANTA CRUZ CA 95060,False,Locality wide location,False,-122.02264,36.97785
Santa Cruz County Fairgrounds,2601 EAST LAKE AVE WATSONVILLE CA 95076,False,Locality wide location,False,-121.73506,36.95081
Scotts Valley Community Center,360 KINGS VILLAGE RD SCOTTS VALLEY CA 95066,False,Locality wide location,False,-122.02821,37.05053
Scotts Valley High School,555 GLENWOOD DR SCOTTS VALLEY CA 95066,False,Locality wide location,False,-122.00513,37.07212
Simpkins Swim Center,979 17TH AVE SANTA CRUZ CA 95062,False,Locality wide location,False,-121.98788,36.96903
Soquel High School,401 OLD SAN JOSE RD SOQUEL CA 95073,False,Locality wide location,False,-121.95966,36.99165
Temple Beth El,3055 PORTER GULCH RD. APTOS CA 95003,False,Locality wide location,False,-121.92971,36.99119
UCSC Merrill Cultural Center,620 CROWN ROAD SANTA CRUZ CA 95064,False,Locality wide location,False,-122.05477,37.00024
Votemobile,701 OCEAN ST SANTA CRUZ CA 95060,False,Locality wide location,False,-122.02319,36.97854
Watsonville City Clerk's Office,275 MAIN ST 4TH FLOOR WATSONVILLE CA 95076,False,Locality wide location,False,-121.75588,36.90851
