name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Arcata Community Center*,321 DR. MARTIN LUTHER KING JR. PKWY ARCATA CA 95521,False,"300104, 300105, 300118, 300149, 300151",False,-124.08047,40.86443
Arcata Community Center*,321 DR. MARTIN LUTHER KING JR. PKWY ARCATA CA 95521,True,"300104, 300105, 300118, 300149, 300151",False,-124.08047,40.86443
Azalea Hall,1620 PICKETT RD MCKINLEYVILLE CA 95519,False,"500226, 500207, 500209, 500243, 500224, 500239, 500321, 500238, 500245, 500236, 500217, 500222, 500223, 500221",False,-124.09908,40.94413
Azalea Hall,1620 PICKETT RD MCKINLEYVILLE CA 95519,True,"500226, 500207, 500209, 500243, 500224, 500239, 500321, 500238, 500245, 500236, 500217, 500222, 500223, 500221",False,-124.09908,40.94413
College Of The Redwoods,7351 TOMPKINS HILL RD EUREKA CA 95501,False,"100020, 100026, 100022, 100029, 100031, 100042",False,-124.19806,40.69524
College Of The Redwoods,7351 TOMPKINS HILL RD EUREKA CA 95501,True,"100020, 100026, 100022, 100029, 100031, 100042",False,-124.19806,40.69524
Elections Annex*,2426 6TH ST EUREKA CA 95501,False,"100013, 100940, 100930, 100017",False,-124.14543,40.8029
Elections Annex*,2426 6TH ST EUREKA CA 95501,True,"100013, 100940, 100930, 100017",False,-124.14543,40.8029
Eureka Pentecostal Church*,1060 HOOVER ST EUREKA CA 95501,False,"400923, 300142, 400189, 300136, 400192, 400194, 300135",False,-124.13682,40.80007
Eureka Pentecostal Church*,1060 HOOVER ST EUREKA CA 95501,True,"400923, 300142, 400189, 300136, 400192, 400194, 300135",False,-124.13682,40.80007
Eureka Veterans Memorial Building*,1018 H ST EUREKA CA 95501,False,"100911, 400938, 100913, 400183, 400901, 400916, 400931",False,-124.16312,40.79766
Eureka Veterans Memorial Building*,1018 H ST EUREKA CA 95501,True,"100911, 400938, 100913, 400183, 400901, 400916, 400931",False,-124.16312,40.79766
Fortuna Veterans Memorial Building*,457 S 15TH ST FORTUNA CA 95540,False,"100331, 200311, 200049, 200052, 200072, 200073, 200074, 200081, 200083",False,-124.15043,40.58776
Fortuna Veterans Memorial Building*,457 S 15TH ST FORTUNA CA 95540,True,"100331, 200311, 200049, 200052, 200072, 200073, 200074, 200081, 200083",False,-124.15043,40.58776
Humboldt County Office of Elections,2426 6TH ST EUREKA CA 95501,False,Locality wide location,False,-124.14543,40.8029
Mad River Rapids Rv Park,3501 JANES RD ARCATA CA 95521,False,"300122, 300334, 300159, 500200, 300203, 300205, 300206, 300306, 300307, 300157, 300162",False,-124.0912,40.90165
Mad River Rapids Rv Park,3501 JANES RD ARCATA CA 95521,True,"300122, 300334, 300159, 500200, 300203, 300205, 300206, 300306, 300307, 300157, 300162",False,-124.0912,40.90165
Mckinleyville Union Middle School*,2275 CENTRAL AVE MCKINLEYVILLE CA 95519,False,"500250, 500233, 500246",False,-124.09917,40.94656
Mckinleyville Union Middle School*,2275 CENTRAL AVE MCKINLEYVILLE CA 95519,True,"500250, 500233, 500246",False,-124.09917,40.94656
Arcata Community Center,"321 DR. MARTIN LUTHER KING, JR PARKWAY ARCATA CA 95521",True,Locality wide location,False,-124.08047,40.86443
Azalea Hall,1620 PICKETT ROAD MCKINLEYVILLE CA 95519,True,Locality wide location,False,-124.09908,40.94413
College of the Redwoods,7351 THOMPKINS HILL ROAD EUREKA CA 95501,True,Locality wide location,False,-124.19806,40.69524
Eureka Pentecostal Church,1060 HOOVER STREET EUREKA CA 95501,True,Locality wide location,False,-124.13682,40.80007
Eureka Veterans Building,1018 H STREET EUREKA CA 95501,True,Locality wide location,False,-124.16312,40.79766
Fortuna Veterans Building,1426 MAIN STREET FORTUNA CA 95540,True,Locality wide location,False,-124.15176,40.59845
Mad River Rapids RV Park,3501 JANES ROAD ARCATA CA 95521,True,Locality wide location,False,-124.0912,40.90165
McKinleyville Middle School,2275 CENTRAL AVENUE MCKINLEYVILLE CA 95519,True,Locality wide location,False,-124.09917,40.94656
