geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
6105000101,105.0,0.00784,1.0,0.94326,0.0,0.19496,0.0,0.25991,0.0,0.09952,1.0,0.0337,1.0,0.02538,1.0,0.03013,1.0,0.07891,0.0,0.78311,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02498,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00436,1.0,0.0,1.0,0.21323,0.14577,0.0,0.08491,0.0,2695.0,1490.64441,1.80794,0.70929,0.71493,0.84879,0.75205,0.75791,0.66596,0.79856,0.49079,1.0,1.0,1.0,1.0,0.79047,0.69152,0.56801,0.51986
6105000102,105.0,0.00463,1.0,0.95152,0.0,0.14573,0.0,0.16607,0.0,0.01442,1.0,0.00024,1.0,0.0066,1.0,0.04693,0.0,0.04718,0.0,0.89489,0.0,0.00049,1.0,0.0,1.0,0.0,1.0,0.01564,0.0,0.00122,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00024,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.30709,0.10645,0.0,0.70411,0.0,4348.0,1163.78592,3.73608,0.63917,0.63528,0.66484,0.62805,0.75776,0.71938,0.85578,0.52583,1.0,1.0,1.0,1.0,0.80679,0.74722,0.82582,0.57575
6105000200,105.0,0.01377,1.0,0.95437,0.0,0.2183,0.0,0.16396,0.0,0.05569,1.0,0.0184,1.0,0.0,1.0,0.05619,0.0,0.09597,0.0,0.8185,0.0,0.0,1.0,0.00646,1.0,0.0,1.0,0.04674,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00547,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.17432,0.31101,0.0,0.05813,0.0,2021.0,1941.83177,1.04077,0.85352,0.8879,0.99611,0.72934,0.74897,0.76039,0.86624,0.55235,1.0,1.0,1.0,1.0,0.7978,0.81592,0.70343,0.50864
6105000500,105.0,0.04973,1.0,0.91585,0.0,0.16162,1.0,0.18376,0.0,0.06501,1.0,0.02134,1.0,0.00883,1.0,0.13395,0.0,0.02772,1.0,0.77159,0.0,0.00466,1.0,0.00294,1.0,0.01276,1.0,0.10623,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00687,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00393,1.0,0.30537,0.2725,0.0,0.15284,0.0,7037.0,3711.41173,1.89604,,,,,,,,,1.0,1.0,1.0,1.0,0.68132,0.65667,0.4705,0.38236
6105000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67038,0.66794,0.69299,0.61422,0.59448,0.55812,0.29586,0.32328,,,,,,,,
6105000400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99411,0.99993,0.57143,0.99992,0.75217,0.45455,0.0004,0.46665,,,,,,,,
