name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Al Goman Community Center,745 LINDEN AVE GUSTINE CA 95322,False,Locality wide location,False,-121.00865,37.25192
Atwater Community Center,760 E BELLEVUE RD ATWATER CA 95301,False,Locality wide location,False,-120.59061,37.35983
College Greens Park,1815 SCRIPPS DR SCRIPPS BUILDING LOS BANOS CA 93635,False,Locality wide location,False,-120.83163,37.04901
Del Hale Hall,931 CENTER ST DOS PALOS CA 93620,False,Locality wide location,False,-120.62608,36.99227
Delhi Veterans Memorial Building,9799 STEPHENS ST DELHI CA 95315,False,Locality wide location,False,-120.77738,37.43084
Department of Child Support Services,3368 N HIGHWAY 59 SUITE 1 MERCED CA 95348,False,Locality wide location,False,-120.50455,37.32713
Hilmar Grange,8188 LANDER AVE HILMAR CA 95324,False,Locality wide location,False,-120.84967,37.40698
Livingston Veteran Memorial Building,1605 7TH ST LIVINGSTON CA 95334,False,Locality wide location,False,-120.7186,37.37578
Los Banos Community Center,645 7TH ST LOS BANOS CA 93635,False,Locality wide location,False,-120.84604,37.06254
Merced College,3600 M ST THEATER LOBBY MERCED CA 95348,False,Locality wide location,False,-120.473,37.33368
Merced County Fairgrounds,900 MARTIN LUTHER KING WAY PAVILION BUILDING MERCED CA 95341,False,Locality wide location,False,-120.48486,37.29163
Merced County Registrar of Voters Office,2222 M STREET MERCED CA 95340,False,Locality wide location,False,-120.48121,37.30704
Planada Community Center,9167 STANFORD AVE PLANADA CA 95365,False,Locality wide location,False,-120.32185,37.29163
Snelling Community Recreation Building,3325 E MERCED FALLS RD SNELLING CA 95369,False,Locality wide location,False,-120.41907,37.52191
