name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Bend Fire Station,22310 BEND FERRY RD RED BLUFF CA 96080,False,BEND 1,False,-122.20655,40.26027
Bowman Community Church,18335 BOWMAN RD COTTONWOOD CA 96022,False,"BOWMAN 1 & 2, BOWMAN 3 & 4",False,-122.35412,40.34434
Capay School,7504 CUTTING AVE ORLAND CA 95963,False,CAPAY,False,-122.08452,39.79711
Christ Community Church Of Vina,26370 5TH ST VINA CA 96092,False,VINA,False,-122.05254,39.93302
Church Of Jesus Christ Of Latter-day Saints,545 BERRENDOS AVE RED BLUFF CA 96080,False,"ANTELOPE 1, ANTELOPE 2 & 4, ANTELOPE 3",False,-122.20733,40.19277
Cone Methodist Church,11220 HWY 99E LOS MOLINOS CA 96055,False,LOS ROBLES,False,-122.11877,40.11913
Corning City Hall,794 3RD ST CORNING CA 96021,False,CORNING 1 & 2,False,-122.1797,39.9282
Corning Veterans Hall,1620 SOLANO ST CORNING CA 96021,False,"LIBERAL/MAYWOOD, CORNING 4,5,7,9,& 10",False,-122.18786,39.9282
Dibble Creek Fire Station,20230 HWY 36W RED BLUFF CA 96080,False,RIVERVIEW 1 & 2,False,-122.28381,40.2211
El Camino Fire Station,9580 HWY 99W GERBER CA 96035,False,PROBERTA,False,-122.16942,40.07141
El Camino Methodist Church,8345 HWY 99W GERBER CA 96035,False,EL CAMINO,False,-122.17152,40.03917
Fairgrounds - Tehama Room,650 ANTELOPE BLVD RED BLUFF CA 96080,False,RED BLUFF 8 & 9,False,-122.20214,40.18788
First Baptist Church,506 COLUSA ST CORNING CA 96021,False,"CORNING 3, 6 & 8",False,-122.1719,39.93148
Gerber Bible Fellowship,301 SAMSON AVE GERBER CA 96035,False,GERBER/LAS FLORES,False,-122.14945,40.05685
High Point Assembly Of God,625 LUTHER RD RED BLUFF CA 96080,False,RED BLUFF 3,False,-122.23357,40.15974
Lake California Lake Club,22431 RIO ALTO DR COTTONWOOD CA 96022,False,RIVER LAKES,False,-122.2003,40.34901
Los Molinos Veterans Hall,7980 SHERWOOD BLVD LOS MOLINOS CA 96055,False,LOS MOLINOS,False,-122.09591,40.02778
Mill Creek Baptist Church,25145 TAFT ST LOS MOLINOS CA 96055,False,OAK PARK,False,-122.09968,40.04706
Moose Lodge,11745 HWY 99W RED BLUFF CA 96080,False,RAWSON,False,-122.20746,40.13421
Mt Olive Lutheran Church,341 SOLANO ST CORNING CA 96021,False,MOON/OLIVE,False,-122.16986,39.92748
Rancho Tehama Recreation Hall,17605 PARK TERRACE RD CORNING CA 96021,False,RANCHO TEHAMA,False,-122.38197,40.01535
Red Bluff Community Center,1500 S JACKSON ST RED BLUFF CA 96080,False,RED BLUFF 4,False,-122.23889,40.15665
Reeds Creek School,18335 JOHNSON RD RED BLUFF CA 96080,False,REEDS CREEK,False,-122.35534,40.15614
Richfield Fire Station,6115 GRANGE RD CORNING CA 96021,False,RICHFIELD,False,-122.1768,39.97438
Ridgeway Park,19725 RIDGE RD RED BLUFF CA 96080,False,RIDGEWAY,False,-122.30473,40.1473
Sacred Heart Parish Hall,2355 MONROE ST RED BLUFF CA 96080,False,RED BLUFF 2,False,-122.24701,40.19045
Tehama County Administration - Tuscan Room,727 OAK ST RED BLUFF CA 96080,False,RED BLUFF 1,False,-122.23853,40.17416
Tehama County Dept. Of Education,1135 LINCOLN ST RED BLUFF CA 96080,False,RED BLUFF 6 & 7,False,-122.24558,40.17855
Tehama County Elections Office,633 WASHINGTON ST ROOM 17 RED BLUFF CA 96080,False,Locality wide location,False,-122.2361,40.17625
Trinity Landmark Missionary Baptist Church,20910 HAMPTON RHODES DR RED BLUFF CA 96080,False,HOSPITAL,False,-122.26065,40.16265
United Methodist Church,525 DAVID AVE RED BLUFF CA 96080,False,RED BLUFF 5,False,-122.25249,40.16763
