name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Albert D. Salgado Community Center,706 N NEWHOPE ST SANTA ANA CA 92703,False,Locality wide location,False,-117.92998,33.75116
Aldersgate United Methodist Church,1201 IRVINE BLVD TUSTIN CA 92780,False,Locality wide location,False,-117.80787,33.74768
Aliso Viejo Branch Library,1 JOURNEY ALISO VIEJO CA 92656,False,Locality wide location,False,-117.7268,33.57006
Anaheim Elementary School District,1001 S EAST ST ANAHEIM CA 92805,False,Locality wide location,False,-117.89881,33.82286
Anaheim Independencia Family Resource Center,10841 GARZA AVE ANAHEIM CA 92804,False,Locality wide location,False,-117.97036,33.80513
Anaheim Union High School District Office,501 N CRESCENT WAY ANAHEIM CA 92801,False,Locality wide location,False,-117.94888,33.83719
Assistance League of Garden Grove,10932 TRASK AVE GARDEN GROVE CA 92843,False,Locality wide location,False,-117.93877,33.7667
Backs Community Building,201 N BRADFORD AVE PLACENTIA CA 92870,False,Locality wide location,False,-117.87049,33.87359
Balearic Community Center,1975 BALEARIC DR COSTA MESA CA 92626,False,Locality wide location,False,-117.93904,33.67473
Boisseranc Park,7520 DALE ST BUENA PARK CA 90620,False,Locality wide location,False,-117.98306,33.85311
Brea Civic and Cultural Center,1 CIVIC CENTER CIR BREA CA 92821,False,Locality wide location,False,-117.88892,33.91707
Brea Community Center,695 MADISON WAY BREA CA 92821,False,Locality wide location,False,-117.89075,33.9163
Brea Community Center,695 MADISON WAY BREA CA 92821,True,Locality wide location,False,-117.89075,33.9163
Brea Senior Center,500 SIEVERS AVE BREA CA 92821,False,Locality wide location,False,-117.90536,33.91396
Brookhurst Community Center,2271 W CRESCENT AVE ANAHEIM CA 92801,False,Locality wide location,False,-117.96218,33.84028
Buena Park Community Center,6688 BEACH BLVD BUENA PARK CA 90621,False,Locality wide location,False,-117.99562,33.8638
CSUF Irvine Center,3 BANTING IRVINE CA 92618,False,Locality wide location,False,-117.76053,33.65908
CSUF Titan Student Union,800 N STATE COLLEGE BLVD FULLERTON CA 92831,False,Locality wide location,False,-117.88938,33.8822
CTS Cement Manufacturing Corporation,12442 KNOTT ST GARDEN GROVE CA 92841,False,Locality wide location,False,-118.01037,33.78158
Calvary Chapel Costa Mesa Ministerio Hispano,3000 W MACARTHUR BLVD SANTA ANA CA 92704,False,Locality wide location,False,-117.9111,33.69982
Canyon Hills Branch Library,400 S SCOUT TRL ANAHEIM CA 92807,False,Locality wide location,False,-117.78544,33.84508
Chapman University - Argyros Forum,386 N CENTER ST ORANGE CA 92866,False,Locality wide location,False,-117.85047,33.79301
Chapman-Hettinga Education Center,11852 KNOTT ST GARDEN GROVE CA 92841,False,Locality wide location,False,-118.00993,33.79107
Christ Our Redeemer A.M.E. Church,45 TESLA IRVINE CA 92618,False,Locality wide location,False,-117.73816,33.63346
Church of Grace,22653 OLD CANAL RD YORBA LINDA CA 92887,False,Locality wide location,False,-117.74092,33.87377
Church of Jesus Christ of Latter-day Saints,9801 NEWPORT AVE SANTA ANA CA 92705,True,Locality wide location,False,-117.78847,33.77419
City Gym and Pool,1600 PALM AVE HUNTINGTON BEACH CA 92648,False,Locality wide location,False,-118.00603,33.66959
City of Seal Beach Fire Station 48,3131 N GATE RD SEAL BEACH CA 90740,False,Locality wide location,False,-118.0772,33.77288
Clifton C. Miller Community Center,300 CENTENNIAL WAY TUSTIN CA 92780,False,Locality wide location,False,-117.81951,33.74326
Coast Community College District,1370 ADAMS AVE COSTA MESA CA 92626,False,Locality wide location,False,-117.91582,33.6754
Coastline College,1515 MONROVIA AVE NEWPORT BEACH CA 92663,False,Locality wide location,False,-117.93684,33.62956
Columbus Tustin Activity Center,17522 BENETA WAY TUSTIN CA 92780,False,Locality wide location,False,-117.82116,33.75074
Community Center at The Market Place,2961 EL CAMINO REAL TUSTIN CA 92782,False,Locality wide location,False,-117.79157,33.72324
Costa Mesa City Hall,77 FAIR DR COSTA MESA CA 92626,False,Locality wide location,False,-117.90266,33.66321
Costa Mesa Downtown Recreation Center,1860 ANAHEIM AVE COSTA MESA CA 92627,False,Locality wide location,False,-117.92279,33.64138
