name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Acalanes High,1200 PLEASANT HILL RD LAFAYETTE CA 94549,False,"Lafayette104, Lafayette115, Lafayette116",False,-122.09684,37.90384
Alhambra High,150 E ST MARTINEZ CA 94553,False,"Martinez836, Martinez819, Martinez820, Martinez103, Martinez821, Martinez810, Martinez812, Martinez838, Martinez813, Martinez815, Martinez828",False,-122.13337,38.00256
Amador Rancho Center,1998 RANCHO PARK LOOP SAN RAMON CA 94583,False,"SanRamon113, SanRamon117, SanRamon808",False,-121.92024,37.7481
Ambrose Community Center,3105 WILLOW PASS RD BAY POINT CA 94565,False,"BayPoint102, BayPoint103, BayPoint104, BayPoint101, BayPoint108, BayPoint801",False,-121.94918,38.02625
Antioch Middle School,1500 D ST ANTIOCH CA 94509,False,"Antioch817, Antioch818, Antioch113, Antioch148, Fairgrounds801",False,-121.81129,38.00564
Antioch Water Park,4701 LONE TREE WAY ANTIOCH CA 94531,False,"Antioch123, Antioch124, Antioch157, Antioch106, Antioch803, Antioch141, Antioch819, Antioch144, Antioch145, Antioch805, Antioch154, Antioch809, Antioch814, Antioch815, Antioch824, Antioch825",False,-121.77274,37.96554
Atchison Village Mutual Homes Corp,COLLINS & CURRY ST RICHMOND CA 94801,False,"Richmond118, Richmond837",False,-122.37132,37.93538
Bay Hills Community Church,4100 KLOSE WAY RICHMOND CA 94806,False,"Richmond135, Richmond137, Richmond154",False,-122.31728,37.9846
Best Western Plus Delta Inn,5549 BRIDGEHEAD RD OAKLEY CA 94561,False,"Oakley101, Oakley102, Oakley802, Oakley803, Oakley805, Oakley806, Oakley807, Oakley808, Oakley809, Oakley810, Oakley819, Oakley820, Oakley821, Oakley822, Oakley826, Oakley829, Oakley830, Viera801, Viera802",False,-121.75254,38.0063
Bethel Baptist Church,3578 CLAYTON RD CONCORD CA 94519,False,"Concord119, Concord124, Concord127, Concord810",False,-122.01026,37.96981
Bill's Ace Truckbox,3550 PACHECO BLVD MARTINEZ CA 94553,False,"Martinez823, Martinez834, MountainView101, MountainView102, MountainView801, MountainView802, VineHill101, VineHill102, VineHill801, VineHill802, VineHill803, VineHill804, VineHill805",False,-122.1046,38.01092
Black Diamond Middle School,4730 STERLING HILL DR ANTIOCH CA 94531,False,"Antioch135, Antioch136, Antioch137, Antioch151, Antioch821",False,-121.76794,37.96946
Blackhawk Country Club,3521 COUNTRY CLUB PL DANVILLE CA 94506,False,"BlackHawk103, BlackHawk104, BlackHawk105, BlackHawk107, BlackHawk108, Tassajara802, Tassajara803, Tassajara805, Tassajara806",False,-121.8905,37.80911
Booker T Anderson Community Center,960 S 47TH ST RICHMOND CA 94804,False,"Richmond106, Richmond109, Richmond111, Richmond112, Richmond808",False,-122.32678,37.91848
Boyd Road Chapel - LDS,555 BOYD RD PLEASANT HILL CA 94523,False,"PleasantHill111, PleasantHill112, PleasantHill113, PleasantHill114",False,-122.08048,37.94416
Brentwood Bible Fellowship,3415 WALNUT BLVD BRENTWOOD CA 94513,False,"Brentwood122, Brentwood123, Brentwood124, Brentwood125",False,-121.69661,37.92421
