geoid,countyfp,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth,pop20,areakm,popdens,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6009000121,9,0.85782,0.79769,0.89548,0.73251,4358,156.62174,27.825,0.10385,0.18581,0.02544,1,0.97358,0,0.20751,0,0.11731,0,0.1115,1,0.00312,1,1e-05,1,0.08142,0,0.01405,1,0.84007,0,0.0,1,0.0,1,0.0,1,0.07606,1,1e-05,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.00312,1,0.0,1,0.10209,0.17942,0
6009000122,9,0.89064,0.89653,0.88144,0.79195,3771,162.39767,23.22078,0.07961,0.13488,0.01479,1,0.95347,0,0.20846,0,0.08275,0,0.06545,1,0.0,1,0.01152,1,0.0868,0,0.00478,1,0.85112,0,0.00421,1,0.0,1,0.0,1,0.04916,1,0.01826,1,0.0073,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.08502,0.02768,0
6009000123,9,0.90117,0.9034,0.86238,0.8569,2693,27.2443,98.84635,0.04076,0.01474,0.01051,1,0.97913,0,0.09961,0,0.0793,0,0.03281,1,0.01214,1,0.0179,1,0.11653,0,0.0,1,0.83468,0,0.0049,1,0.0,1,0.0,1,0.1046,0,0.0,1,0.0,1,0.0,1,0.0,1,0.00511,1,0.0,1,0.0,1,0.00703,1,0.05904,0.18506,0
6009000124,9,0.89303,0.88072,0.83172,0.82289,2323,412.78037,5.62769,0.04218,0.0413,0.01051,1,0.97913,0,0.09961,0,0.0793,0,0.03281,1,0.01214,1,0.0179,1,0.11653,0,0.0,1,0.83468,0,0.0049,1,0.0,1,0.0,1,0.1046,0,0.0,1,0.0,1,0.0,1,0.0,1,0.00511,1,0.0,1,0.0,1,0.00703,1,0.04516,0.0,1
6009000220,9,0.84424,0.80507,0.85096,0.83241,5857,265.44151,22.06512,0.15055,0.02919,0.00963,1,0.99241,0,0.16578,0,0.0933,1,0.0465,1,0.03046,1,0.01457,1,0.11347,0,0.00221,1,0.81236,0,0.0,1,0.0,1,0.0,1,0.09478,1,0.0,1,0.0,1,0.0,1,0.01854,1,0.00206,1,0.0,1,0.0,1,0.00029,1,0.13962,0.19492,0
6009000221,9,0.8253,0.82,0.90428,0.82603,5708,169.19049,33.73712,0.15445,0.08246,0.02128,1,0.9913,0,0.14709,0,0.04191,1,0.0864,1,0.01468,0,0.00288,1,0.17712,0,0.00126,1,0.76135,0,0.0,1,0.0,1,0.0,1,0.13505,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0036,1,0.0,1,0.00081,1,0.0,1,0.13866,0.24611,0
6009000222,9,0.81616,0.78847,0.80646,0.83033,4403,96.34683,45.69948,0.12488,0.04539,0.02128,1,0.9913,0,0.14709,0,0.04191,1,0.0864,1,0.01468,0,0.00288,1,0.17712,0,0.00126,1,0.76135,0,0.0,1,0.0,1,0.0,1,0.13505,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0036,1,0.0,1,0.00081,1,0.0,1,0.10563,0.24923,0
6009000301,9,0.81553,0.8229,0.9602,0.72895,4196,192.31716,21.81813,0.11775,0.2069,0.012,1,0.99999,0,0.29584,0,0.27407,0,0.05259,1,0.01601,1,0.00667,1,0.1217,0,0.00293,1,0.76321,0,0.002,1,0.00253,1,0.0,1,0.10941,0,0.00773,1,0.0,1,0.0,1,0.0056,1,0.00307,1,0.00053,1,0.0,1,0.0,1,0.10085,0.23196,0
6009000302,9,0.90528,0.87064,0.97313,0.89272,2179,265.26176,8.21453,0.0345,0.10356,0.012,1,1.0,0,0.29597,0,0.27423,0,0.05256,1,0.01601,1,0.00667,1,0.12166,0,0.00293,1,0.76321,0,0.002,1,0.00253,1,0.0,1,0.10939,0,0.00774,1,0.0,1,0.0,1,0.0056,1,0.00307,1,0.00053,1,0.0,1,0.0,1,0.05553,0.22264,0
6009000400,9,0.86449,0.83429,0.8892,0.81309,3873,464.72103,8.33403,0.08138,0.02344,0.03249,1,0.97017,0,0.1988,0,0.21345,0,0.04335,1,0.02719,1,0.00184,1,0.07788,0,0.01947,1,0.83395,0,0.0,1,0.0,1,0.0,1,0.0507,1,0.00294,1,0.0,1,0.0,1,0.0,1,0.02057,1,0.0,1,0.0,1,0.00661,1,0.06431,0.0,1
6009000501,9,0.93068,0.90568,0.93702,0.89247,3217,63.89901,50.34507,0.0392,0.05455,0.00702,1,0.99266,0,0.18917,1,0.04899,0,0.04503,1,0.00432,1,0.0,1,0.11167,1,0.0,1,0.87716,0,0.01117,1,0.0036,1,0.0,1,0.09077,1,0.0,1,0.00612,1,0.0,1,0.0,1,0.00432,1,0.0,1,0.0,1,0.0,1,0.05754,0.0,1
6009000504,9,0.93304,0.94299,0.98423,0.86472,760,362.60314,2.09596,0.00852,0.04027,0.0,1,0.94937,1,0.20902,1,0.11597,0,0.02188,1,0.01094,1,0.00875,1,0.00656,1,0.0,1,0.93873,0,0.0,1,0.0,1,0.0,1,0.00656,1,0.0,1,0.0,1,0.0,1,0.01094,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0118,0.0,1
6009000505,9,0.93315,0.95855,0.99966,0.90111,1208,8.17779,147.71714,0.01373,0.02408,0.01198,1,0.98516,0,0.21479,1,0.08036,1,0.03215,1,0.02236,1,0.0,1,0.06569,1,0.0,1,0.90636,0,0.0,1,0.02586,1,0.0,1,0.02935,1,0.0,1,0.00699,1,0.0,1,0.0,1,0.00559,1,0.0,1,0.01188,1,0.0,1,0.01918,0.0,1
6009000506,9,0.93329,0.9506,0.99754,0.87912,760,38.62416,19.6768,0.00865,0.01342,0.01198,1,0.98516,0,0.21479,1,0.08036,1,0.03215,1,0.02236,1,0.0,1,0.06569,1,0.0,1,0.90636,0,0.0,1,0.02586,1,0.0,1,0.02935,1,0.0,1,0.00699,1,0.0,1,0.0,1,0.00559,1,0.0,1,0.01188,1,0.0,1,0.01556,0.05027,0
