name,address,lat,lon,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off
21ST AMENDMENT BREWERY,2010 WILLIAMS ST SAN LEANDRO CA 94577,37.71156,-122.17727,False,Locality wide location,False
ALAMEDA HIGH SCHOOL,2201 ENCINAL AVE ALAMEDA CA 94501,37.76421,-122.24704,False,Locality wide location,False
ALBANY VETERANS MEMORIAL BUILDING,1325 PORTLAND AVE ALBANY CA 94706,37.89514,-122.29102,False,Locality wide location,False
ALLEN TEMPLE,8501 INTERNATIONAL BLVD OAKLAND CA 94621,37.75247,-122.17741,False,Locality wide location,False
ALMANAC BEER COMPANY,651 W TOWER AVE ALAMEDA CA 94501,37.7832,-122.29884,False,Locality wide location,False
ALOFT SILICON VALLEY HOTEL,8200 GATEWAY BLVD NEWARK CA 94560,37.53631,-122.06293,False,Locality wide location,False
ALTAMONT CREEK ELEMENTARY SCHOOL,6500 GARAVENTA RANCH RD LIVERMORE CA 94551,37.72202,-121.71705,False,Locality wide location,False
AMERICAN HIGH SCHOOL,36300 FREMONT BLVD FREMONT CA 94536,37.56443,-122.01635,False,Locality wide location,False
ARDENWOOD ELEMENTARY SCHOOL,33955 EMILIA LN FREMONT CA 94555,37.57302,-122.05265,False,Locality wide location,False
ARROYO HIGH SCHOOL,15701 LORENZO AVE SAN LORENZO CA 94580,37.67944,-122.14035,False,Locality wide location,False
ARROYO SECO SCHOOL MULTI-PURPOSE ROOM,5280 IRENE WAY LIVERMORE CA 94550,37.68423,-121.72912,False,Locality wide location,False
ASCEND SCHOOL,3709 E 12TH ST OAKLAND CA 94601,37.77351,-122.22098,False,Locality wide location,False
Alameda County Registrar of Voters Office,1225 FALLON ST ROOM G-1 OAKLAND CA 94612,37.79968,-122.26262,False,Locality wide location,False
BARBARA LEE CENTER,2251 BANCROFT AVE SAN LEANDRO CA 94577,37.71732,-122.143,False,Locality wide location,False
"BERKELEY HIGH SCHOOL, GYM",1980 ALLSTON WAY BERKELEY CA 94704,37.86799,-122.27062,False,Locality wide location,False
BOTHWELL ARTS CENTER,2466 8TH ST LIVERMORE CA 94550,37.67694,-121.76296,False,Locality wide location,False
BROOKFIELD VILLAGE ELEMENTARY SCHOOL,401 JONES AVE OAKLAND CA 94603,37.73486,-122.18924,False,Locality wide location,False
CAL STATE EAST BAY,25800 CARLOS BEE BLVD HAYWARD CA 94542,37.65713,-122.05675,False,Locality wide location,False
CANYON MIDDLE SCHOOL,19600 CULL CANYON RD CASTRO VALLEY CA 94552,37.70539,-122.05192,False,Locality wide location,False
CASTRO VALLEY LIBRARY,3600 NORBRIDGE AVE CASTRO VALLEY CA 94546,37.69298,-122.07105,False,Locality wide location,False
CESAR CHAVEZ MIDDLE SCHOOL,2801 HOP RANCH RD UNION CITY CA 94587,37.59193,-122.04894,False,Locality wide location,False
CHABOT COLLEGE,25555 HESPERIAN BLVD HAYWARD CA 94545,37.63941,-122.10536,False,Locality wide location,False
CITY OF BERKELEY PRIVATE BUILDING,1011 UNIVERSITY AVE BERKELEY CA 94710,37.86918,-122.29361,False,Locality wide location,False
DOWNTOWN HAYWARD PUBLIC LIBRARY,888 C ST HAYWARD CA 94541,37.67079,-122.08372,False,Locality wide location,False
DUBLIN SENIOR CENTER,7600 AMADOR VALLEY BLVD DUBLIN CA 94568,37.70774,-121.93287,False,Locality wide location,False
DUBLIN UNIFIED SCHOOL DISTRICT BOARDROOM,7471 LARKDALE AVE DUBLIN CA 94568,37.71683,-121.93087,False,Locality wide location,False
E.M. GRIMMER ELEMENTARY SCHOOL,43030 NEWPORT DR FREMONT CA 94538,37.52007,-121.95132,False,Locality wide location,False
EASTMONT MALL,7200 BANCROFT AVE OAKLAND CA 94605,37.76721,-122.17793,False,Locality wide location,False
ED ROBERT CAMPUS,3075 ADELINE ST BERKELEY CA 94703,37.85244,-122.26938,False,Locality wide location,False
EDENDALE MIDDLE SCHOOL,16160 ASHLAND AVE SAN LORENZO CA 94580,37.69577,-122.11787,False,Locality wide location,False
ELMHURST MIDDLE SCHOOL,1800 98TH AVE OAKLAND CA 94603,37.74613,-122.16527,False,Locality wide location,False
ENCOUNTER CHURCH,562 LEWELLING BLVD SAN LEANDRO CA 94579,37.68613,-122.135,False,Locality wide location,False
EPWORTH UNITED METHODIST CHURCH,1953 HOPKINS ST BERKELEY CA 94707,37.88741,-122.27367,False,Locality wide location,False
EVERGREEN MISSIONARY BAPTIST CHURCH,408 W MACARTHUR BLVD OAKLAND CA 94609,37.82555,-122.26198,False,Locality wide location,False
FAIRVIEW ELEMENTARY SCHOOL,23515 MAUD AVE HAYWARD CA 94541,37.68068,-122.05294,False,Locality wide location,False
FALLON MIDDLE SCHOOL,3601 KOHNEN WAY DUBLIN CA 94568,37.71526,-121.86762,False,Locality wide location,False
FREMONT ADULT SCHOOL,4700 CALAVERAS AVE FREMONT CA 94538,37.53842,-121.99107,False,Locality wide location,False
FREMONT MAIN LIBRARY,2450 STEVENSON BLVD FREMONT CA 94538,37.55085,-121.97104,False,Locality wide location,False
"GOLDEN STATE WARRIORS, PRACTICE/TRAINING",1011 BROADWAY OAKLAND CA 94607,37.80231,-122.27397,False,Locality wide location,False
GRACEPOINT CHURCH,1275 HARBOR BAY PKWY ALAMEDA CA 94502,37.72804,-122.2341,False,Locality wide location,False
HARVEST PARK MIDDLE SCHOOL,4900 VALLEY AVE PLEASANTON CA 94566,37.67534,-121.88423,False,Locality wide location,False
HIRING HALL,1050 MATTOX RD HAYWARD CA 94541,37.68677,-122.09977,False,Locality wide location,False
ISLAMIC CENTER OF FREMONT,42412 ALBRAE ST FREMONT CA 94538,37.50933,-121.97181,False,Locality wide location,False
