name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
BROOKTRAILS COMMUNITY CENTER,"24850 Birch St, Willits, CA 95490",False,"CONSOL PREC NO 300001, CONSOL PREC NO 300002",False,-123.38413,39.43766
CASPAR COMMUNITY CENTER,150051 CASPAR RD CA 95420,False,CONSOL PREC NO 400007,False,-123.81517,39.36809
CHAPEL OF THE REDWOODS,31201 COMPTCHE/UKIAH RD CA 95427,False,CONSOL PREC NO 500003,False,-123.5941,39.26476
COMMUNITY CENTER - MAIN HALL,"998 School St, Mendocino, CA 95460",False,"CONSOL PREC NO 500007, CONSOL PREC NO 500008",False,-123.79638,39.30811
FB VETERANS MEMORIAL BLDG,360 N HARRISON ST FORT BRAGG CA 95437,False,"CONSOL PREC NO 400001, CONSOL PREC NO 400002",False,-123.80139,39.44533
FORT BRAGG CITY HALL EAST,213 E LAUREL ST FORT BRAGG CA 95437,False,"CONSOL PREC NO 400005, CONSOL PREC NO 400003, CONSOL PREC NO 400004",False,-123.80418,39.44564
HOPLAND FIRE,"21 Feliz Creek Rd, Hopland, CA 95449",False,CONSOL PREC NO 500009,False,-123.11829,38.97037
LAYTONVILLE LIONS FIRE HALL,44920 WILLIS AVE LAYTONVILLE CA 95454,False,CONSOL PREC NO 300008,False,-123.48536,39.68664
LITTLE RIVER INN,7751 N HWY 1 LITTLE RIVER CA 95456,False,"CONSOL PREC NO 500004, CONSOL PREC NO 500002",False,-123.78885,39.27175
MENDOCINO COUNTY FAIRGROUNDS,"Boonville, CA 95415",False,CONSOL PREC NO 500005,False,-123.36584,39.00751
MENDOCINO FIRE - MEETING RM,44700 LITTLE LAKE RD MENDOCINO CA 95460,False,"CONSOL PREC NO 400006, CONSOL PREC NO 500001",False,-123.79476,39.31068
Mendocino County Elections,501 LOW GAP RD RM 1020 UKIAH CA 95482,False,Locality wide location,False,-123.2156,39.15912
NEW LIFE COMMUNITY CHURCH,750 YOSEMITE DR UKIAH CA 95482,False,"CONSOL PREC NO 100005, CONSOL PREC NO 200001",False,-123.19488,39.15065
POTTER VLY HIGH SCHL MULTIPURPOSE,10401 MAIN ST POTTER VALLEY CA 95469,False,CONSOL PREC NO 100009,False,-123.1042,39.3213
REDWOOD VALLEY GRANGE HALL,8650 EAST RD REDWOOD VALLEY CA 95470,False,"CONSOL PREC NO 100004, CONSOL PREC NO 100003, CONSOL PREC NO 100002",False,-123.20511,39.26738
THURSTON AUTO PLAZA,2800 N STATE ST UKIAH CA 95482,False,"CONSOL PREC NO 100500, CONSOL PREC NO 100001",False,-123.21038,39.18943
UKIAH FAIR - CARL PURDY HALL,1055 N STATE ST UKIAH CA 95482,False,"CONSOL PREC NO 100006, CONSOL PREC NO 100008, CONSOL PREC NO 100007, CONSOL PREC NO 200004, CONSOL PREC NO 200003",False,-123.20847,39.16327
VETERANS MEMORIAL BLDG,451 SCHOOL ST POINT ARENA CA 95468,False,CONSOL PREC NO 500006,False,-123.70379,38.91652
WILLITS COMMUNITY CTR-REC HALL,111 E COMMERCIAL ST CA 95490,False,"CONSOL PREC NO 300004, CONSOL PREC NO 300005, CONSOL PREC NO 300003, CONSOL PREC NO 300006, CONSOL PREC NO 300007",False,-123.35308,39.41235
