name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Albert J. Boro Community Center,50 CANAL ST SAN RAFAEL CA 94901,False,C-40908,False,-122.49776,37.96805
Albert J. Boro Community Center,50 CANAL ST SAN RAFAEL CA 94901,True,C-40908,False,-122.49776,37.96805
Belvedere Community Center,450 SAN RAFAEL AVE BELVEDERE CA 94920,False,"C-30101, C-31107, C-31215, C-31218, C-31216",False,-122.46559,37.87421
Belvedere Community Center,450 SAN RAFAEL AVE BELVEDERE CA 94920,True,"C-30101, C-31107, C-31215, C-31218, C-31216",False,-122.46559,37.87421
Bolinas Community Center,14 WHARF RD BOLINAS CA 94924,False,C-41212,False,-122.68571,37.9093
Bolinas Community Center,14 WHARF RD BOLINAS CA 94924,True,C-41212,False,-122.68571,37.9093
Embassy Suites Hotel,101 MC INNIS PKWY SAN RAFAEL CA 94903,False,"C-10904, C-10906, C-10908, C-11217, C-11218",False,-122.53241,38.0048
Embassy Suites Hotel,101 MC INNIS PKWY SAN RAFAEL CA 94903,True,"C-10904, C-10906, C-10908, C-11217, C-11218",False,-122.53241,38.0048
Fairfax Women's Club,46 PARK RD FAIRFAX CA 94930,False,"C-20301, C-20302, C-21217",False,-122.59208,37.9863
Fairfax Women's Club,46 PARK RD FAIRFAX CA 94930,True,"C-20301, C-20302, C-21217",False,-122.59208,37.9863
First Presbyterian Church Of San Anselmo,72 KENSINGTON RD SAN ANSELMO CA 94960,False,"C-20709, C-20811",False,-122.56658,37.97054
First Presbyterian Church Of San Anselmo,72 KENSINGTON RD SAN ANSELMO CA 94960,True,"C-20709, C-20811",False,-122.56658,37.97054
First Presbyterian Church of San Rafael,1510 5TH AVE SAN RAFAEL CA 94901,False,"C-10907, C-10909, C-10910",False,-122.53368,37.97498
First Presbyterian Church of San Rafael,1510 5TH AVE SAN RAFAEL CA 94901,True,"C-10907, C-10909, C-10910",False,-122.53368,37.97498
Hamilton Community Center,500 HANGAR 2 HAMILTON FLD NOVATO CA 94949,False,"C-51213, C-50611, C-50610",False,-122.51439,38.05663
Hamilton Community Center,500 HANGAR 2 HAMILTON FLD NOVATO CA 94949,True,"C-51213, C-50611, C-50610",False,-122.51439,38.05663
Homestead Valley Community Ctr,315 MONTFORD AVE MILL VALLEY CA 94941,False,"C-30503, C-41214, C-41213",False,-122.54459,37.89695
Homestead Valley Community Ctr,315 MONTFORD AVE MILL VALLEY CA 94941,True,"C-30503, C-41214, C-41213",False,-122.54459,37.89695
Marguerita C. Johnson Senior Center,640 DRAKE AVE MARIN CITY CA 94965,False,C-31214,False,-122.51511,37.87278
Marguerita C. Johnson Senior Center,640 DRAKE AVE MARIN CITY CA 94965,True,C-31214,False,-122.51511,37.87278
Marin County Office Of Education,1111 LAS GALLINAS AVE SAN RAFAEL CA 94903,False,"C-10903, C-10901, C-10902",False,-122.55027,38.01351
Marin County Office Of Education,1111 LAS GALLINAS AVE SAN RAFAEL CA 94903,True,"C-10903, C-10901, C-10902",False,-122.55027,38.01351
Marin Elections Dept,3501 CIVIC CTR. DR SUITE 121 SAN RAFAEL CA 94903,False,Locality wide location,False,-122.53066,37.99793
Marinwood Community Center,775 MILLER CREEK RD SAN RAFAEL CA 94903,False,"C-11216, C-10905, C-11215",False,-122.55248,38.02774
Marinwood Community Center,775 MILLER CREEK RD SAN RAFAEL CA 94903,True,"C-11216, C-10905, C-11215",False,-122.55248,38.02774
Masonic Lodge,1122 MAGNOLIA AVE LARKSPUR CA 94939,False,"C-20403, C-20405, C-21218, C-40404",False,-122.54724,37.94764
Masonic Lodge,1122 MAGNOLIA AVE LARKSPUR CA 94939,True,"C-20403, C-20405, C-21218, C-40404",False,-122.54724,37.94764
Mill Valley Community Center,180 CAMINO ALTO MILL VALLEY CA 94941,False,"C-30502, C-30504, C-31210",False,-122.52825,37.89907
Mill Valley Community Center,180 CAMINO ALTO MILL VALLEY CA 94941,True,"C-30502, C-30504, C-31210",False,-122.52825,37.89907
Nativity Of Christ Greek Orthodox Church,1110 HIGHLAND DR NOVATO CA 94949,False,"C-51215, C-50609, C-50608",False,-122.55276,38.07117
Nativity Of Christ Greek Orthodox Church,1110 HIGHLAND DR NOVATO CA 94949,True,"C-51215, C-50609, C-50608",False,-122.55276,38.07117
Novato City Hall,901 SHERMAN AVE NOVATO CA 94945,False,"C-51212, C-50607, C-50606, C-50602",False,-122.56844,38.10616
Novato City Hall,901 SHERMAN AVE NOVATO CA 94945,True,"C-51212, C-50607, C-50606, C-50602",False,-122.56844,38.10616
Novato Library,1720 NOVATO BLVD NOVATO CA 94947,False,"C-50605, C-50601, C-40606",False,-122.58009,38.1072
Novato Library,1720 NOVATO BLVD NOVATO CA 94947,True,"C-50605, C-50601, C-40606",False,-122.58009,38.1072
Novato School District Offices,1015 7TH ST NOVATO CA 94947,False,"C-51214, C-50604, C-50603, C-41211, C-40607",False,-122.57859,38.10966
Novato School District Offices,1015 7TH ST NOVATO CA 94947,True,"C-51214, C-50604, C-50603, C-41211, C-40607",False,-122.57859,38.10966
Redwoods Presbyterian Church,110 MAGNOLIA AVE LARKSPUR CA 94939,False,"C-20407, C-40201, C-40202, C-40203",False,-122.5343,37.92991
Redwoods Presbyterian Church,110 MAGNOLIA AVE LARKSPUR CA 94939,True,"C-20407, C-40201, C-40202, C-40203",False,-122.5343,37.92991
San Geronimo Valley Community Center,6350 SIR FRANCIS DRAKE BLVD SAN GERONIMO CA 94963,False,C-41210,False,-122.67456,38.01653
