geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
6013303105,13.0,0.08909,0.0,1.0,0.0,0.08779,0.0,0.06022,0.0,0.08,1.0,0.14109,0.0,0.09725,0.0,0.26566,0.0,0.0,1.0,0.45132,0.0,0.03917,1.0,0.0,1.0,0.0,1.0,0.19626,0.0,0.01465,1.0,0.00665,1.0,0.05278,1.0,0.00145,1.0,0.07356,0.0,0.00468,1.0,0.0,1.0,0.0,1.0,0.00263,0.12611,0.0,0.00386,0.00382,3361.0,2.1668,1551.13453,,,,,,,,,0.86697,0.88755,0.82985,0.87451,0.78466,0.73627,0.73892,0.70048
6013303106,13.0,0.10002,0.0,0.97133,0.0,0.10088,0.0,0.10014,0.0,0.08781,1.0,0.07864,0.0,0.06568,0.0,0.33505,0.0,0.01612,1.0,0.47012,0.0,0.02711,1.0,0.0,1.0,0.00158,1.0,0.25996,0.0,0.01826,1.0,0.02711,1.0,0.0,1.0,0.03446,0.0,0.0215,1.0,0.00142,1.0,0.00119,1.0,0.00711,1.0,0.00545,0.10784,0.0,0.0046,0.00734,7032.0,30.18572,232.95785,,,,,,,,,0.8835,0.87886,0.91305,0.89433,0.81082,0.75792,0.81225,0.71117
6013303107,13.0,0.10002,0.0,0.97133,0.0,0.10088,0.0,0.10014,0.0,0.08781,1.0,0.07864,0.0,0.06568,0.0,0.33505,0.0,0.01612,1.0,0.47012,0.0,0.02711,1.0,0.0,1.0,0.00158,1.0,0.25996,0.0,0.01826,1.0,0.02711,1.0,0.0,1.0,0.03446,0.0,0.0215,1.0,0.00142,1.0,0.00119,1.0,0.00711,1.0,0.00539,0.06683,0.0,0.01445,0.00686,6978.0,3.47167,2009.98505,,,,,,,,,0.89436,0.89373,0.89685,0.87967,0.80774,0.77972,0.78112,0.73164
6013303202,13.0,0.02371,0.0,0.9807,0.0,0.10049,0.0,0.02163,0.0,0.07975,1.0,0.06758,0.0,0.08006,0.0,0.20085,0.0,0.00014,1.0,0.5555,0.0,0.00616,1.0,0.00012,1.0,0.0,1.0,0.15336,0.0,0.01145,1.0,0.00574,1.0,0.00233,1.0,0.0148,1.0,0.04788,0.0,7e-05,1.0,0.00244,1.0,0.0001,1.0,0.00696,0.0,1.0,0.0026,0.01094,9136.0,3.72552,2452.27266,0.63198,0.56546,0.67831,0.62286,0.77139,0.73321,0.74105,0.57595,0.889,0.86655,0.9237,0.89863,0.84368,0.82419,0.85988,0.79301
6013303204,13.0,0.1464,1.0,0.93148,0.0,0.11447,0.0,0.15955,0.0,0.07851,1.0,0.0442,1.0,0.06651,0.0,0.3334,0.0,0.0,1.0,0.51568,0.0,0.00989,1.0,0.0,1.0,0.0,1.0,0.26752,0.0,0.01747,1.0,0.0181,1.0,0.0,1.0,0.00316,1.0,0.03199,1.0,0.0061,1.0,0.0,1.0,0.0,1.0,0.00383,0.0,1.0,0.00164,0.00654,4866.0,2.06632,2354.90814,0.60027,0.55806,0.64495,0.51799,0.73782,0.68781,0.78496,0.5032,0.86906,0.87332,0.89372,0.83333,0.81062,0.75802,0.8243,0.71941
6013303206,13.0,0.09468,0.0,0.9502,0.0,0.10985,0.0,0.04859,1.0,0.1004,0.0,0.15767,0.0,0.17221,0.0,0.17985,0.0,0.00148,1.0,0.37507,0.0,0.04716,1.0,0.0,1.0,0.0,1.0,0.11289,0.0,0.0097,1.0,0.00444,1.0,0.02637,1.0,0.00822,1.0,0.11782,0.0,0.0,1.0,0.00419,1.0,0.00131,1.0,0.00433,0.07013,0.0,0.00112,0.00535,4706.0,7.62784,616.95087,,,,,,,,,0.89741,0.87405,0.92475,0.90098,0.83925,0.84358,0.82341,0.79699
6013303207,13.0,0.09468,0.0,0.9502,0.0,0.10985,0.0,0.04859,1.0,0.1004,0.0,0.15767,0.0,0.17221,0.0,0.17986,0.0,0.00148,1.0,0.37508,0.0,0.04716,1.0,0.0,1.0,0.0,1.0,0.11289,0.0,0.0097,1.0,0.00444,1.0,0.02637,1.0,0.00822,1.0,0.11782,0.0,0.0,1.0,0.00419,1.0,0.00132,1.0,0.00611,0.17618,0.0,0.00583,0.00589,6617.0,5.57357,1187.21006,,,,,,,,,0.90162,0.90069,0.92602,0.89833,0.77121,0.78028,0.75334,0.67824
6013303208,13.0,0.05041,1.0,0.96627,0.0,0.07258,0.0,0.04509,1.0,0.11496,1.0,0.12564,0.0,0.09165,0.0,0.23252,0.0,0.01077,1.0,0.48523,0.0,0.03485,0.0,0.00958,1.0,0.0,1.0,0.14585,0.0,0.0113,1.0,0.01933,1.0,0.00716,1.0,0.03023,1.0,0.07663,0.0,0.00391,1.0,0.00515,1.0,0.00784,1.0,0.00403,0.09089,0.0,0.00298,0.00438,3961.0,2.3656,1674.41454,,,,,,,,,0.91162,0.89604,0.92963,0.91905,0.85922,0.84004,0.83676,0.75559
6013303209,13.0,0.05121,1.0,0.96603,0.0,0.07329,0.0,0.04514,1.0,0.1147,1.0,0.12614,0.0,0.09298,0.0,0.2317,0.0,0.01061,1.0,0.48336,0.0,0.03505,0.0,0.00941,1.0,0.0,1.0,0.14538,0.0,0.01128,1.0,0.01906,1.0,0.00748,1.0,0.02986,1.0,0.07728,0.0,0.00384,1.0,0.00513,1.0,0.00772,1.0,0.00508,0.23556,0.0,0.0047,0.00551,5413.0,3.95956,1367.072,,,,,,,,,0.89291,0.89604,0.93115,0.90895,0.84121,0.8214,0.79299,0.74769
6013303210,13.0,0.03835,0.0,0.96734,0.0,0.11163,0.0,0.04221,0.0,0.06382,1.0,0.0655,0.0,0.03202,0.0,0.16112,0.0,0.0,1.0,0.64259,0.0,0.0327,1.0,0.01232,1.0,0.0,1.0,0.06987,0.0,0.00963,1.0,0.00168,1.0,0.0,1.0,0.01881,1.0,0.03583,0.0,0.00146,1.0,0.0,1.0,0.00146,1.0,0.00433,0.04864,0.0,0.00146,0.00369,3822.0,3.28969,1161.81221,,,,,,,,,0.93446,0.90081,0.97543,0.92406,0.89538,0.84666,0.88452,0.76747
