geoid,countyfp,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth,pop20,areakm,popdens,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag
6017030201,17,0.84253,0.81172,0.91071,0.69996,2259,5.20458,434.04052,0.01225,0.04631,0.17999,0,0.94103,0,0.1375,0,0.0986,0,0.06979,1,0.06875,0,0.00143,1,0.43841,0,0.00661,1,0.46609,0,0.06503,1,0.00286,1,0.0,1,0.34535,0,0.00143,1,1e-05,1,0.00464,1,0.0075,1,0.04516,0,1e-05,1,0.00018,1,0.01125,1,0.01392,0.36213,0
6017030202,17,0.83617,0.79441,0.74305,0.79794,2147,4.63211,463.50394,0.01126,0.00154,0.18032,0,0.94094,0,0.13749,0,0.09867,0,0.06975,1,0.06886,0,0.00143,1,0.4391,0,0.00662,1,0.46539,0,0.0651,1,0.00286,1,0.0,1,0.34591,0,0.00143,1,0.0,1,0.00465,1,0.00751,1,0.04525,0,0.0,1,0.00018,1,0.01127,1,0.01281,0.40931,0
6017030301,17,0.87219,0.81975,0.835,0.7562,2710,1.1835,2289.82529,0.0136,0.00855,0.16614,0,0.92264,0,0.13768,0,0.12478,0,0.18309,1,0.02663,1,0.01161,1,0.39336,0,0.00222,1,0.54605,0,0.11573,1,0.0,1,0.0,1,0.24746,0,0.00363,1,0.01022,1,0.0,1,0.00834,1,0.0,1,5e-05,1,0.01238,1,5e-05,1,0.01412,0.17353,0
6017030302,17,0.86082,0.86637,0.91876,0.83304,2911,3.59526,809.67762,0.01717,0.01478,0.06889,1,0.92645,0,0.13592,1,0.09934,1,0.13676,1,0.04792,1,0.02658,1,0.13606,0,0.0,1,0.73872,0,0.0007,1,0.0,1,0.0,1,0.11962,0,0.01574,1,0.0,1,0.0,1,0.0,1,0.0,1,0.01749,1,0.02134,1,0.0,1,0.01672,0.20294,0
6017030402,17,0.88302,0.88212,0.91735,0.78022,3863,10.99517,351.33612,0.01922,0.05147,0.06897,1,0.85158,0,0.19895,0,0.18052,0,0.10142,1,0.0657,1,0.01671,1,0.23466,0,0.0,1,0.65156,0,0.00298,1,0.0,1,0.0,1,0.20742,0,0.01397,1,0.0071,1,0.03434,1,0.0174,1,0.0,1,0.0,1,0.0,1,0.0,1,0.02214,0.1984,0
6017030403,17,0.90847,0.85182,0.85693,0.88149,1392,3.59015,387.72784,0.00772,0.00576,0.04328,1,0.9541,0,0.09948,1,0.06202,0,0.0558,1,0.04517,1,0.00897,1,0.11624,0,0.0,1,0.82431,0,0.01827,1,0.0,1,0.0,1,0.09598,0,0.0,1,0.0,1,0.0,1,0.00365,1,0.0103,1,0.00598,1,0.0,1,0.02524,1,0.00797,0.0,1
6017030404,17,0.88358,0.90563,0.94738,0.95113,2121,2.14288,989.79108,0.0116,0.01861,0.04328,1,0.9541,0,0.09948,1,0.06202,0,0.0558,1,0.04517,1,0.00897,1,0.11624,0,0.0,1,0.82431,0,0.01827,1,0.0,1,0.0,1,0.09598,0,0.0,1,0.0,1,0.0,1,0.00365,1,0.0103,1,0.00598,1,0.0,1,0.02524,1,0.00871,0.0,1
6017030502,17,0.91937,0.91851,0.96612,0.90965,2773,17.28769,160.40316,0.01314,0.00555,0.01706,1,0.98442,0,0.06157,1,0.02598,1,0.05292,1,0.01294,1,0.00549,1,0.08467,0,0.0,1,0.86358,0,0.0051,1,0.0,1,0.0,1,0.0392,1,0.00078,1,0.01176,1,0.0,1,0.01058,1,0.0,1,0.0,1,0.0,1,0.0,1,0.01421,0.0,1
6017030504,17,0.89557,0.81413,0.99219,0.88129,2582,29.77683,86.71171,0.01543,0.00665,0.01277,1,0.9822,0,0.13962,0,0.06117,0,0.0874,1,0.00976,1,0.00041,1,0.08821,0,0.00244,1,0.82276,0,0.02683,1,0.0,1,0.0,1,0.05651,1,0.0,1,0.00406,1,0.0,1,0.0,1,0.0,1,0.00325,1,0.00325,1,0.00325,1,0.0133,0.0,1
6017030506,17,0.87905,0.75423,0.84524,0.80967,1009,48.67875,20.72773,0.00729,0.00098,0.0112,1,1.0,0,0.14323,0,0.04694,0,0.13261,1,0.0,1,0.00334,1,0.11176,0,0.0,1,0.83028,0,0.0,1,0.0,1,0.0,1,0.1055,0,0.00334,1,0.00292,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.00496,0.0,1
