name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
CEDARVILLE FAIRGROUNDS RESTAURANT,235 CENTER ST CEDARVILLE CA 96104,False,CEDARVILLE,False,-120.17354,41.52268
MACYS FLYING SERVICE,530 COUNTY ROAD 113 TULELAKE CA 96134,False,NEWELL,False,-121.35988,41.91407
Modoc County Elections,108 E. MODOC STREET ALTURAS CA 96101,False,Locality wide location,False,-120.54184,41.48278
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,ALTURAS B,False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,ALTURAS C,False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,ALTURAS D,False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,"CAL PINES - 410.03, CAL PINES",False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,HOT SPRING,False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN ST ALTURAS CA 96101,False,NORTH FORK,False,-120.54243,41.48086
VETERANS MEMORIAL HALL,508 S MAIN STRM ALTURAS CA 96101,False,ALTURAS A,False,-120.54243,41.48086
