name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Arroyo Grande Library,800 W. BRANCH ST ARROYO GRANDE CA 93420,False,Locality wide location,False,-120.58915,35.12453
Atascadero Lake Pavilion,9315 PISMO AVE ATASCADERO CA 93422,False,Locality wide location,False,-120.66812,35.46596
Cal Fire South Bay Training Center,880 MANZANITA DR LOS OSOS CA 93402,False,Locality wide location,False,-120.83466,35.30947
Cal Poly - Robert E. Kennedy Library,1 GRAND AVE BLDG 35 SAN LUIS OBISPO CA 93405,False,Locality wide location,False,-120.65876,35.30113
Cambria Vetâ€™s Hall,1000 MAIN ST CAMBRIA CA 93428,False,Locality wide location,False,-121.09697,35.56469
Clerk-Recorder Office,6565 CAPISTRANO AVE ATASCADERO CA 93422,False,Locality wide location,False,-120.66398,35.48915
Grover Beach Community Center,1230 TROUVILLE AVE GROVER BEACH CA 93433,False,Locality wide location,False,-120.61653,35.11586
Heritage Ranch CSD,4870 HERITAGE RD PASO ROBLES CA 93446,False,Locality wide location,False,-120.88374,35.72239
Lifepoint Church Rec,207 PILGRIM WAY ARROYO GRANDE CA 93420,False,Locality wide location,False,-120.57488,35.1155
Ludwick Center Gym,864 SANTA ROSA ST SAN LUIS OBISPO CA 93401,False,Locality wide location,False,-120.66084,35.28427
Mid-State Fairgrounds,2198 RIVERSIDE AVE PASO ROBLES CA 93446,False,Locality wide location,False,-120.68787,35.63715
Morro Bay Community Center,1001 KENNEDY WAY MORRO BAY CA 93442,False,Locality wide location,False,-120.84586,35.3687
Natâ€™l Guard Armory,6105 OLMEDA AVE ATASCADERO CA 93422,False,Locality wide location,False,-120.66735,35.4929
Nipomo High School,525 N THOMPSON AVE NIPOMO CA 93444,False,Locality wide location,False,-120.48663,35.04999
Oceano CSD,1655 FRONT ST OCEANO CA 93445,False,Locality wide location,False,-120.6168,35.10254
Octagon Barn,4400 OCTAGON WAY SAN LUIS OBISPO CA 93401,False,Locality wide location,False,-120.67962,35.23687
Paso Robles Culinary Arts Building,1900 GOLDEN HILL RD PASO ROBLES CA 93446,False,Locality wide location,False,-120.6576,35.63953
Paso Robles Senior Center,270 SCOTT ST PASO ROBLES CA 93446,False,Locality wide location,False,-120.65545,35.60807
Pismo Beach Vetâ€™s Hall,780 BELLO PISMO BEACH CA 93449,False,Locality wide location,False,-120.63925,35.14313
San Luis Obispo Airport - Old Terminal,901 AIRPORT DR SAN LUIS OBISPO CA 93401,False,Locality wide location,False,-120.64124,35.23931
San Luis Obispo Clerk-Recorder,1055 MONTEREY ST SAN LUIS OBISPO CA 93408,False,Locality wide location,False,-120.66017,35.28219
Templeton High,1200 S. MAIN SCHOOL GYM TEMPLETON CA 93465,False,Locality wide location,False,-120.71117,35.54244
The Edwards Barn,1095 POMEROY RD NIPOMO CA 93444,False,Locality wide location,False,-120.5249,35.04695
